#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0126826          -          BGBP                 -           2.1e-124  415.3   0.0  2.6e-124  415.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(18749699..18749896,18749974..18751136,18751283..18751400); ID=FBpp0126826; name=Dana\GF23634-PA; parent=FBgn0100628,FBtr0128334; dbxref=FlyBase:FBpp0126826,FlyBase_Annotation_IDs:GF23634-PA,GB_protein:EDV41021,REFSEQ:XP_001958215,FlyMine:FBpp0126826; MD5=a3c029eee1d316ddb0f028be43ed3a92; length=492; release=r1.3; species=Dana; 
FBpp0125695          -          CLIPD                -            1.1e-59  201.8   0.0   1.7e-59  201.2   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_13248:join(784640..784721,784801..784984,785121..785747,785793..785968,786032..786487,786553..786899); ID=FBpp0125695; name=Dana\GF22503-PA; parent=FBgn0099499,FBtr0127203; dbxref=FlyBase:FBpp0125695,FlyBase_Annotation_IDs:GF22503-PA,GB_protein:EDV34978,REFSEQ:XP_001965463,FlyMine:FBpp0125695; MD5=83c58c8f021fe7118a69b04e516cc314; length=623; release=r1.3; species=Dana; 
FBpp0116746          -          CLIPD                -            1.7e-59  201.2   0.4   2.1e-59  200.9   0.4   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(15118732..15118996,15119075..15119285,15119344..15119959); ID=FBpp0116746; name=Dana\GF13554-PA; parent=FBgn0090583,FBtr0118254; dbxref=FlyBase:FBpp0116746,FlyBase_Annotation_IDs:GF13554-PA,GB_protein:EDV37633,REFSEQ:XP_001960811,FlyMine:FBpp0116746; MD5=f2f563e0c54d2256468ce1c56c8574b9; length=363; release=r1.3; species=Dana; 
FBpp0115597          -          CLIPD                -            2.5e-59  200.6   0.1     3e-59  200.4   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(931555..932343); ID=FBpp0115597; name=Dana\GF12405-PA; parent=FBgn0089442,FBtr0117105; dbxref=FlyBase:FBpp0115597,FlyBase_Annotation_IDs:GF12405-PA,GB_protein:EDV35572,REFSEQ:XP_001958750,FlyMine:FBpp0115597; MD5=d88f1462fc435116037b6c2a29cd3d8f; length=262; release=r1.3; species=Dana; 
FBpp0115790          -          CLIPD                -            5.4e-59  199.5   1.5   6.2e-59  199.4   1.5   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(1834623..1834841,1834911..1835235,1835288..1835386,1835437..1835602,1835663..1836053); ID=FBpp0115790; name=Dana\GF12598-PA; parent=FBgn0089634,FBtr0117298; dbxref=FlyBase:FBpp0115790,FlyBase_Annotation_IDs:GF12598-PA,GB_protein:EDV35687,REFSEQ:XP_001958865,FlyMine:FBpp0115790; MD5=fa795ea8574fa627a71ce18e7e2c68da; length=399; release=r1.3; species=Dana; 
FBpp0116283          -          CLIPD                -            6.3e-59  199.3   4.0     8e-59  199.0   4.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(8472655..8472846,8472912..8473763); ID=FBpp0116283; name=Dana\GF13091-PA; parent=FBgn0090124,FBtr0117791; dbxref=FlyBase:FBpp0116283,FlyBase_Annotation_IDs:GF13091-PA,GB_protein:EDV36704,REFSEQ:XP_001959882,FlyMine:FBpp0116283; MD5=87b5170c0b3810cc8e0cc7c892585c52; length=347; release=r1.3; species=Dana; 
FBpp0114326          -          CLIPD                -            7.3e-59  199.1   0.7   9.3e-59  198.8   0.7   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(17283541..17284350,17284408..17284635); ID=FBpp0114326; name=Dana\GF11134-PA; parent=FBgn0088174,FBtr0115834; dbxref=FlyBase:FBpp0114326,FlyBase_Annotation_IDs:GF11134-PA,GB_protein:EDV37988,REFSEQ:XP_001961166,FlyMine:FBpp0114326; MD5=f8abd3d24593cdff14ced7aa2aa5c008; length=345; release=r1.3; species=Dana; 
FBpp0115791          -          CLIPD                -            3.1e-58  197.1   0.1   3.4e-58  196.9   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(1836226..1836444,1836500..1836932,1836995..1837163,1837219..1837594); ID=FBpp0115791; name=Dana\GF12599-PA; parent=FBgn0089635,FBtr0117299; dbxref=FlyBase:FBpp0115791,FlyBase_Annotation_IDs:GF12599-PA,GB_protein:EDV35688,REFSEQ:XP_001958866,FlyMine:FBpp0115791; MD5=3b5220fb5580e51b7fb71dc81028a495; length=398; release=r1.3; species=Dana; 
FBpp0125694          -          CLIPD                -            3.6e-58  196.8   0.1   4.8e-58  196.4   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13248:join(780786..780861,780928..781114,781285..781675,781738..781921,781991..782331); ID=FBpp0125694; name=Dana\GF22502-PA; parent=FBgn0099498,FBtr0127202; dbxref=FlyBase:FBpp0125694,FlyBase_Annotation_IDs:GF22502-PA,GB_protein:EDV34977,REFSEQ:XP_001965462,FlyMine:FBpp0125694; MD5=ddb6fc9cf1dfe940b8f33393bb89bc1f; length=392; release=r1.3; species=Dana; 
FBpp0115598          -          CLIPD                -            4.2e-58  196.6   0.0   5.4e-58  196.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(930135..930992); ID=FBpp0115598; name=Dana\GF12406-PA; parent=FBgn0089443,FBtr0117106; dbxref=FlyBase:FBpp0115598,FlyBase_Annotation_IDs:GF12406-PA,GB_protein:EDV35571,REFSEQ:XP_001958749,FlyMine:FBpp0115598; MD5=0c8e3e1ae4032a92d0184bb99df24c81; length=285; release=r1.3; species=Dana; 
FBpp0126943          -          CLIPD                -            2.6e-57  194.0   0.2   3.2e-57  193.7   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(16750214..16750527,16750954..16751052,16751110..16751575); ID=FBpp0126943; name=Dana\GF23751-PA; parent=FBgn0100745,FBtr0128451; dbxref=FlyBase:FBpp0126943,FlyBase_Annotation_IDs:GF23751-PA,GB_protein:EDV40767,REFSEQ:XP_001957961,FlyMine:FBpp0126943; MD5=23f7170390dc6e1ab28fd7239266b7a2; length=292; release=r1.3; species=Dana; 
FBpp0118483          -          CLIPD                -            9.4e-57  192.2   2.0   1.1e-56  191.9   2.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_12916:6217744..6218484; ID=FBpp0118483; name=Dana\GF15291-PA; parent=FBgn0092316,FBtr0119991; dbxref=FlyBase:FBpp0118483,FlyBase_Annotation_IDs:GF15291-PA,GB_protein:EDV31307,REFSEQ:XP_001962086,FlyMine:FBpp0118483; MD5=9107320f47a4f994c27865e797936699; length=246; release=r1.3; species=Dana; 
FBpp0115738          -          CLIPD                -            2.7e-56  190.7   2.8   3.3e-56  190.4   2.8   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:936910..937680; ID=FBpp0115738; name=Dana\GF12546-PA; parent=FBgn0089583,FBtr0117246; dbxref=FlyBase:FBpp0115738,FlyBase_Annotation_IDs:GF12546-PA,GB_protein:EDV35576,REFSEQ:XP_001958754,FlyMine:FBpp0115738; MD5=692b278f8fa30b9ea971c7245289c21b; length=256; release=r1.3; species=Dana; 
FBpp0118640          -          CLIPD                -              3e-56  190.5   0.7   3.5e-56  190.3   0.7   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_12916:8648137..8648910; ID=FBpp0118640; name=Dana\GF15448-PA; parent=FBgn0092473,FBtr0120148; dbxref=FlyBase:FBpp0118640,FlyBase_Annotation_IDs:GF15448-PA,GB_protein:EDV31633,REFSEQ:XP_001962412,FlyMine:FBpp0118640; MD5=68eda3954b2ef553c026da196c5ec11d; length=257; release=r1.3; species=Dana; 
FBpp0119465          -          CLIPD                -            3.9e-56  190.2   0.0   4.5e-56  190.0   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:complement(19688736..19689336,19689566..19689836,19689899..19689998); ID=FBpp0119465; name=Dana\GF16273-PA; parent=FBgn0093295,FBtr0120973; dbxref=FlyBase:FBpp0119465,FlyBase_Annotation_IDs:GF16273-PA,GB_protein:EDV43929,REFSEQ:XP_001955368,FlyMine:FBpp0119465; MD5=7322494270d5769bc6443f1e50af4ce2; length=323; release=r1.3; species=Dana; 
FBpp0115595          -          CLIPD                -            5.3e-56  189.7   2.0   6.4e-56  189.4   2.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(934870..935640); ID=FBpp0115595; name=Dana\GF12403-PA; parent=FBgn0089440,FBtr0117103; dbxref=FlyBase:FBpp0115595,FlyBase_Annotation_IDs:GF12403-PA,GB_protein:EDV35574,REFSEQ:XP_001958752,FlyMine:FBpp0115595; MD5=687643d1146b5f3e9936a24c40d98cdb; length=256; release=r1.3; species=Dana; 
FBpp0116922          -          CLIPD                -            5.4e-56  189.7   0.3   6.8e-56  189.4   0.3   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(17307697..17307906,17310739..17311680); ID=FBpp0116922; name=Dana\GF13730-PA; parent=FBgn0090757,FBtr0118430; dbxref=FlyBase:FBpp0116922,FlyBase_Annotation_IDs:GF13730-PA,GB_protein:EDV37991,REFSEQ:XP_001961169,FlyMine:FBpp0116922; MD5=f6b10753cf39944d718dbfc234346718; length=383; release=r1.3; species=Dana; 
FBpp0115594          -          CLIPD                -            6.8e-56  189.4   0.2   8.1e-56  189.1   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(935837..936607); ID=FBpp0115594; name=Dana\GF12402-PA; parent=FBgn0089439,FBtr0117102; dbxref=FlyBase:FBpp0115594,FlyBase_Annotation_IDs:GF12402-PA,GB_protein:EDV35575,REFSEQ:XP_001958753,FlyMine:FBpp0115594; MD5=e3bd51535b0e114726b45518451454fc; length=256; release=r1.3; species=Dana; 
FBpp0114594          -          CLIPD                -            1.1e-55  188.7   0.3   1.3e-55  188.4   0.3   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(14030709..14031482); ID=FBpp0114594; name=Dana\GF11402-PA; parent=FBgn0088442,FBtr0116102; dbxref=FlyBase:FBpp0114594,FlyBase_Annotation_IDs:GF11402-PA,GB_protein:EDV37459,REFSEQ:XP_001960637,FlyMine:FBpp0114594; MD5=d4a7f66df75f7b1183cb42b747ec0567; length=257; release=r1.3; species=Dana; 
FBpp0116884          -          CLIPD                -            7.1e-55  186.0   1.7   8.6e-55  185.8   1.7   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:16622560..16623345; ID=FBpp0116884; name=Dana\GF13692-PA; parent=FBgn0090720,FBtr0118392; dbxref=FlyBase:FBpp0116884,FlyBase_Annotation_IDs:GF13692-PA,GB_protein:EDV37901,REFSEQ:XP_001961079,FlyMine:FBpp0116884; MD5=a0cc1a07886d94ab8b23ad1c79347027; length=261; release=r1.3; species=Dana; 
FBpp0120249          -          CLIPD                -            1.2e-54  185.3   0.7   2.7e-29  102.1   0.6   2.1   2   0   0   2   2   2   2 type=protein; loc=scaffold_13340:complement(7465342..7465597,7465874..7466548,7466610..7466796,7466918..7467014); ID=FBpp0120249; name=Dana\GF17057-PA; parent=FBgn0094076,FBtr0121757; dbxref=FlyBase:FBpp0120249,FlyBase_Annotation_IDs:GF17057-PA,GB_protein:EDV42342,REFSEQ:XP_001953781,FlyMine:FBpp0120249; MD5=bad7c3eb7f6f2fea34420309b8264082; length=404; release=r1.3; species=Dana; 
FBpp0115739          -          CLIPD                -            1.6e-54  184.9   2.9   1.9e-54  184.6   2.9   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:939611..940372; ID=FBpp0115739; name=Dana\GF12547-PA; parent=FBgn0089584,FBtr0117247; dbxref=FlyBase:FBpp0115739,FlyBase_Annotation_IDs:GF12547-PA,GB_protein:EDV35577,REFSEQ:XP_001958755,FlyMine:FBpp0115739; MD5=97b48eb3cdb92c37a3e23f1283d0f3e1; length=253; release=r1.3; species=Dana; 
FBpp0125275          -          CLIPD                -            1.7e-54  184.8   0.3   2.2e-54  184.4   0.3   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_12929:join(142247..142301,143120..143327,143386..143665,143727..144116); ID=FBpp0125275; name=Dana\GF22083-PA; parent=FBgn0099082,FBtr0126783; dbxref=FlyBase:FBpp0125275,FlyBase_Annotation_IDs:GF22083-PA,GB_protein:EDV32579,REFSEQ:XP_001966291,FlyMine:FBpp0125275; MD5=89c27ebd93773f0f8c9ecbca41817a6e; length=310; release=r1.3; species=Dana; 
FBpp0120642          -          CLIPD                -            1.6e-53  181.6   0.8   2.1e-53  181.2   0.8   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:complement(1124930..1125627,1125680..1125827,1125963..1126138,1126221..1126281); ID=FBpp0120642; name=Dana\GF17450-PA; parent=FBgn0094468,FBtr0122150; dbxref=FlyBase:FBpp0120642,FlyBase_Annotation_IDs:GF17450-PA,GB_protein:EDV41555,REFSEQ:XP_001952972,FlyMine:FBpp0120642; MD5=60a9f7e2062fb0a98328dfc6a3f88929; length=360; release=r1.3; species=Dana; 
FBpp0115860          -          CLIPD                -            2.1e-53  181.2   0.0   2.8e-53  180.8   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:3038767..3039630; ID=FBpp0115860; name=Dana\GF12668-PA; parent=FBgn0089704,FBtr0117368; dbxref=FlyBase:FBpp0115860,FlyBase_Annotation_IDs:GF12668-PA,GB_protein:EDV35841,REFSEQ:XP_001959019,FlyMine:FBpp0115860; MD5=a09db6b0aa9c385dccdade10b7405405; length=287; release=r1.3; species=Dana; 
FBpp0119464          -          CLIPD                -            2.1e-53  181.2   0.0   2.7e-53  180.8   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:complement(19690401..19690989,19691048..19691318,19691373..19691454); ID=FBpp0119464; name=Dana\GF16272-PA; parent=FBgn0093294,FBtr0120972; dbxref=FlyBase:FBpp0119464,FlyBase_Annotation_IDs:GF16272-PA,GB_protein:EDV43930,REFSEQ:XP_001955369,FlyMine:FBpp0119464; MD5=9387e560ee2ae2def29f87914779481b; length=313; release=r1.3; species=Dana; 
FBpp0120017          -          CLIPD                -            2.3e-53  181.1   0.0   3.1e-53  180.7   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:complement(11075672..11076110,11076171..11076335,11076390..11076499,11076553..11076668,11076736..11077081); ID=FBpp0120017; name=Dana\GF16825-PA; parent=FBgn0093846,FBtr0121525; dbxref=FlyBase:FBpp0120017,FlyBase_Annotation_IDs:GF16825-PA,GB_protein:EDV42841,REFSEQ:XP_001954280,FlyMine:FBpp0120017; MD5=cdfb1bbca962b9d53f581f1d2489df7a; length=391; release=r1.3; species=Dana; 
FBpp0115596          -          CLIPD                -            1.4e-52  178.5   0.5   1.8e-52  178.2   0.5   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(932853..933641); ID=FBpp0115596; name=Dana\GF12404-PA; parent=FBgn0089441,FBtr0117104; dbxref=FlyBase:FBpp0115596,FlyBase_Annotation_IDs:GF12404-PA,GB_protein:EDV35573,REFSEQ:XP_001958751,FlyMine:FBpp0115596; MD5=a2eb0a3cdec901dcbabc522d80206f1a; length=262; release=r1.3; species=Dana; 
FBpp0121969          -          CLIPD                -            1.6e-52  178.3   0.0   1.6e-52  178.3   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:join(20422244..20422444,20422510..20422672,20422744..20423551,20423649..20424054); ID=FBpp0121969; name=Dana\GF18777-PA; parent=FBgn0095794,FBtr0123477; dbxref=FlyBase:FBpp0121969,FlyBase_Annotation_IDs:GF18777-PA,GB_protein:EDV44017,REFSEQ:XP_001955456,FlyMine:FBpp0121969; MD5=4bb8f2f103dfb7ca07c2986bfc89398e; length=525; release=r1.3; species=Dana; 
FBpp0120965          -          CLIPD                -            1.9e-52  178.1   1.1   2.2e-52  177.8   1.1   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:join(4887318..4887449,4887506..4887868,4887933..4888229); ID=FBpp0120965; name=Dana\GF17773-PA; parent=FBgn0094791,FBtr0122473; dbxref=FlyBase:FBpp0120965,FlyBase_Annotation_IDs:GF17773-PA,GB_protein:EDV42032,REFSEQ:XP_001953471,FlyMine:FBpp0120965; MD5=dc91921578e0f6df5d31e699e116dfac; length=263; release=r1.3; species=Dana; 
FBpp0118405          -          CLIPD                -            2.2e-52  177.8   2.8   3.1e-52  177.4   2.8   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_12916:join(5352101..5352173,5352438..5352812,5352864..5352972,5353034..5353218,5354374..5354675,5354742..5354855); ID=FBpp0118405; name=Dana\GF15213-PA; parent=FBgn0092238,FBtr0119913; dbxref=FlyBase:FBpp0118405,FlyBase_Annotation_IDs:GF15213-PA,GB_protein:EDV31139,REFSEQ:XP_001961918,FlyMine:FBpp0118405; MD5=8960140eb3ff7d70abcddd30282caaf2; length=385; release=r1.3; species=Dana; 
FBpp0128063          -          CLIPD                -            5.5e-52  176.5   0.3   7.2e-52  176.2   0.3   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_12943:4939424..4940257; ID=FBpp0128063; name=Dana\GF24871-PA; parent=FBgn0101864,FBtr0129571; dbxref=FlyBase:FBpp0128063,FlyBase_Annotation_IDs:GF24871-PA,GB_protein:EDV33521,REFSEQ:XP_001965387,FlyMine:FBpp0128063; MD5=8167304cb0d85796fe5f67124a3609ed; length=277; release=r1.3; species=Dana; 
FBpp0120762          -          CLIPD                -            9.2e-52  175.8   0.0   1.3e-51  175.3   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:join(1361120..1361274,1361362..1361671,1362062..1362171,1362344..1362761,1362818..1362947,1363002..1363087); ID=FBpp0120762; name=Dana\GF17570-PA; parent=FBgn0094588,FBtr0122270; dbxref=FlyBase:FBpp0120762,FlyBase_Annotation_IDs:GF17570-PA,GB_protein:EDV41624,REFSEQ:XP_001953041,FlyMine:FBpp0120762; MD5=dc7a5649c1a7fb564c9291b74a012f42; length=402; release=r1.3; species=Dana; 
FBpp0126973          -          CLIPD                -            9.6e-52  175.8   2.1   1.2e-51  175.5   2.1   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(16344344..16345273); ID=FBpp0126973; name=Dana\GF23781-PA; parent=FBgn0100775,FBtr0128481; dbxref=FlyBase:FBpp0126973,FlyBase_Annotation_IDs:GF23781-PA,GB_protein:EDV40720,REFSEQ:XP_001957914,FlyMine:FBpp0126973; MD5=7ae04e216ac3387178425084da21edbf; length=309; release=r1.3; species=Dana; 
FBpp0123270          -          CLIPD                -            1.7e-51  174.9   0.9     2e-51  174.7   0.9   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(7511239..7512156); ID=FBpp0123270; name=Dana\GF20078-PA; parent=FBgn0097085,FBtr0124778; dbxref=FlyBase:FBpp0123270,FlyBase_Annotation_IDs:GF20078-PA,GB_protein:EDV39630,REFSEQ:XP_001956824,FlyMine:FBpp0123270; MD5=1b6b4b0b373775833640fba1f7121116; length=305; release=r1.3; species=Dana; 
FBpp0115740          -          CLIPD                -            6.6e-51  173.0   1.1   8.7e-51  172.6   1.1   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:942500..943273; ID=FBpp0115740; name=Dana\GF12548-PA; parent=FBgn0089585,FBtr0117248; dbxref=FlyBase:FBpp0115740,FlyBase_Annotation_IDs:GF12548-PA,GB_protein:EDV35579,REFSEQ:XP_001958757,FlyMine:FBpp0115740; MD5=f7bfe6e3aa372679768265ba86c46aff; length=257; release=r1.3; species=Dana; 
FBpp0113732          -          CLIPD                -            7.7e-51  172.8   0.1   9.9e-51  172.4   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:14245725..14246555; ID=FBpp0113732; name=Dana\GF10540-PA; parent=FBgn0087581,FBtr0115240; dbxref=FlyBase:FBpp0113732,FlyBase_Annotation_IDs:GF10540-PA,GB_protein:EDV40496,REFSEQ:XP_001957690,FlyMine:FBpp0113732; MD5=664274929d6dbc510c6e9fb0d2629099; length=276; release=r1.3; species=Dana; 
FBpp0113863          -          CLIPD                -            1.2e-50  172.2   0.0   1.6e-50  171.7   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:join(16748697..16749244,16749303..16749478,16749539..16750173); ID=FBpp0113863; name=Dana\GF10671-PA; parent=FBgn0087712,FBtr0115371; dbxref=FlyBase:FBpp0113863,FlyBase_Annotation_IDs:GF10671-PA,GB_protein:EDV40766,REFSEQ:XP_001957960,FlyMine:FBpp0113863; MD5=bbd2c2f41fc29ecc60c1ece84773dd98; length=452; release=r1.3; species=Dana; 
FBpp0115540          -          CLIPD                -            1.3e-50  172.1   0.0   1.4e-50  172.0   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(1846933..1847594,1847657..1848338,1848397..1848624); ID=FBpp0115540; name=Dana\GF12348-PA; parent=FBgn0089385,FBtr0117048; dbxref=FlyBase:FBpp0115540,FlyBase_Annotation_IDs:GF12348-PA,GB_protein:EDV35693,REFSEQ:XP_001958871,FlyMine:FBpp0115540; MD5=ab6d5e4db40ab8f90567c9ce2eab4bcd; length=523; release=r1.3; species=Dana; 
FBpp0114120          -          CLIPD                -            1.3e-50  172.0   0.0   1.7e-50  171.7   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:join(20855567..20855802,20855862..20856426); ID=FBpp0114120; name=Dana\GF10928-PA; parent=FBgn0087968,FBtr0115628; dbxref=FlyBase:FBpp0114120,FlyBase_Annotation_IDs:GF10928-PA,GB_protein:EDV41254,REFSEQ:XP_001958448,FlyMine:FBpp0114120; MD5=625fdaa36af473045b02f6900c053ee5; length=266; release=r1.3; species=Dana; 
FBpp0125276          -          CLIPD                -            3.4e-50  170.7   0.4   4.4e-50  170.3   0.4   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_12929:join(144474..144808,144874..145162,145222..145623); ID=FBpp0125276; name=Dana\GF22084-PA; parent=FBgn0099083,FBtr0126784; dbxref=FlyBase:FBpp0125276,FlyBase_Annotation_IDs:GF22084-PA,GB_protein:EDV32580,REFSEQ:XP_001966292,FlyMine:FBpp0125276; MD5=a0ba0b652a30c79ae81ce0bb581d01af; length=341; release=r1.3; species=Dana; 
FBpp0114656          -          CLIPD                -            5.7e-50  169.9   0.0   7.5e-50  169.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13250:complement(119357..120088,120156..120269); ID=FBpp0114656; name=Dana\GF11464-PA; parent=FBgn0088504,FBtr0116164; dbxref=FlyBase:FBpp0114656,FlyBase_Annotation_IDs:GF11464-PA,GB_protein:EDV35303,REFSEQ:XP_001965936,FlyMine:FBpp0114656; MD5=716d4e691b49028d4bc66ca282276ce5; length=281; release=r1.3; species=Dana; 
FBpp0115599          -          CLIPD                -            6.4e-50  169.8   0.0     8e-50  169.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(928704..929645); ID=FBpp0115599; name=Dana\GF12407-PA; parent=FBgn0089444,FBtr0117107; dbxref=FlyBase:FBpp0115599,FlyBase_Annotation_IDs:GF12407-PA,GB_protein:EDV35570,REFSEQ:XP_001958748,FlyMine:FBpp0115599; MD5=2c7e7bf4226c3062bcc221f8a29d83be; length=313; release=r1.3; species=Dana; 
FBpp0118202          -          CLIPD                -            1.2e-49  168.9   0.0   1.2e-49  168.9   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_12916:join(1307826..1308734,1308791..1308925,1317505..1317703,1317757..1317796,1317854..1318457); ID=FBpp0118202; name=Dana\GF15010-PA; parent=FBgn0092035,FBtr0119710; dbxref=FlyBase:FBpp0118202,FlyBase_Annotation_IDs:GF15010-PA,GB_protein:EDV30748,REFSEQ:XP_001961527,FlyMine:FBpp0118202; MD5=8863a6e07c995ecdf4af8d9a2186ac80; length=628; release=r1.3; species=Dana; 
FBpp0116812          -          CLIPD                -            1.6e-49  168.4   0.0   2.2e-49  168.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13393:complement(4656..5423); ID=FBpp0116812; name=Dana\GF13620-PA; parent=FBgn0090648,FBtr0118320; dbxref=FlyBase:FBpp0116812,FlyBase_Annotation_IDs:GF13620-PA,GB_protein:EDV44410,REFSEQ:XP_001967795,FlyMine:FBpp0116812; MD5=ba1dd52f4f5ae388d41c5be56810613a; length=255; release=r1.3; species=Dana; 
FBpp0120964          -          CLIPD                -            3.2e-49  167.5   0.6   4.2e-49  167.1   0.6   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:join(4885787..4885921,4885991..4886353,4886411..4886713); ID=FBpp0120964; name=Dana\GF17772-PA; parent=FBgn0094790,FBtr0122472; dbxref=FlyBase:FBpp0120964,FlyBase_Annotation_IDs:GF17772-PA,GB_protein:EDV42031,REFSEQ:XP_001953470,FlyMine:FBpp0120964; MD5=c7717dde7ae64a015539c661a278098f; length=266; release=r1.3; species=Dana; 
FBpp0125277          -          CLIPD                -            9.5e-49  165.9   0.0   1.3e-48  165.5   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_12929:join(147316..147611,148121..148880); ID=FBpp0125277; name=Dana\GF22085-PA; parent=FBgn0099084,FBtr0126785; dbxref=FlyBase:FBpp0125277,FlyBase_Annotation_IDs:GF22085-PA,GB_protein:EDV32581,REFSEQ:XP_001966293,FlyMine:FBpp0125277; MD5=90c87dc66be18ff089d52a01603e87a3; length=351; release=r1.3; species=Dana; 
FBpp0127573          -          CLIPD                -            9.6e-49  165.9   2.8   1.1e-48  165.7   2.8   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(7506661..7507413); ID=FBpp0127573; name=Dana\GF24381-PA; parent=FBgn0101375,FBtr0129081; dbxref=FlyBase:FBpp0127573,FlyBase_Annotation_IDs:GF24381-PA,GB_protein:EDV39627,REFSEQ:XP_001956821,FlyMine:FBpp0127573; MD5=c0768de8d99faceff97af2b9b1545c29; length=250; release=r1.3; species=Dana; 
FBpp0122477          -          CLIPD                -            2.2e-48  164.8   1.2   2.8e-48  164.4   1.2   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13137:complement(559116..559124,559256..559594,559652..559937,559994..560235); ID=FBpp0122477; name=Dana\GF19285-PA; parent=FBgn0096296,FBtr0123985; dbxref=FlyBase:FBpp0122477,FlyBase_Annotation_IDs:GF19285-PA,GB_protein:EDV34792,REFSEQ:XP_001967148,FlyMine:FBpp0122477; MD5=c02f7c97ccefbf0d96eb093f66752861; length=291; release=r1.3; species=Dana; 
FBpp0123269          -          CLIPD                -            2.5e-48  164.5   0.0     3e-48  164.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(7512357..7513115); ID=FBpp0123269; name=Dana\GF20077-PA; parent=FBgn0097084,FBtr0124777; dbxref=FlyBase:FBpp0123269,FlyBase_Annotation_IDs:GF20077-PA,GB_protein:EDV39631,REFSEQ:XP_001956825,FlyMine:FBpp0123269; MD5=61f1c3c28df2dfd122f2d332966bef1a; length=252; release=r1.3; species=Dana; 
