#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0074817          -          BGBP                 -           2.5e-135  452.4   0.0    3e-135  452.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:join(18676006..18676123,18676296..18677080,18677145..18677522,18677579..18677776); ID=FBpp0074817; name=GNBP1-PA; parent=FBgn0040323,FBtr0075050; dbxref=FlyBase:FBpp0074817,FlyBase_Annotation_IDs:CG6895-PA,GB_protein:AAF49244.1,REFSEQ:NP_524142,GB_protein:AAF49244,FlyMine:FBpp0074817,modMine:FBpp0074817; MD5=3319c8f13047af04e61708ace37337a8; length=492; release=r6.02; species=Dmel; 
FBpp0076747          -          CLIPC                -            3.3e-42  145.6   0.0   3.9e-42  145.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:6037111..6038070; ID=FBpp0076747; name=CG6462-PA; parent=FBgn0035663,FBtr0077039; dbxref=FlyBase:FBpp0076747,FlyBase_Annotation_IDs:CG6462-PA,GB_protein:AAF50715.1,REFSEQ:NP_648011,GB_protein:AAF50715,FlyMine:FBpp0076747,modMine:FBpp0076747; MD5=cbfd857fdaf44c172a1b2294fc55c0ef; length=319; release=r6.02; species=Dmel; 
FBpp0290173          -          CLIPC                -            3.8e-42  145.4   0.1     5e-42  145.0   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:complement(join(21536583..21536784,21536482..21536527,21536245..21536423,21535775..21536181)); ID=FBpp0290173; name=CG30286-PB; parent=FBgn0050286,FBtr0300951; dbxref=REFSEQ:NP_726082,GB_protein:AAM70920,FlyBase:FBpp0290173,FlyBase_Annotation_IDs:CG30286-PB,FlyMine:FBpp0290173,modMine:FBpp0290173; MD5=2d51c2e525910805483175a5972496dd; length=277; release=r6.02; species=Dmel; 
FBpp0291690          -          CLIPC                -            4.7e-42  145.1   0.0   5.4e-42  144.9   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:join(15695386..15695608,15695719..15695764,15695822..15696000,15696063..15696478); ID=FBpp0291690; name=CG33461-PB; parent=FBgn0053461,FBtr0302528; dbxref=FlyBase:FBpp0291690,FlyBase_Annotation_IDs:CG33461-PB,REFSEQ:NP_995843,GB_protein:AAF58112,FlyMine:FBpp0291690,modMine:FBpp0291690; MD5=a300d65213cf5742eacf564ad31efa05; length=287; release=r6.02; species=Dmel; 
FBpp0076748          -          CLIPC                -            4.7e-42  145.1   0.4     6e-42  144.7   0.4   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:join(6039196..6039452,6039530..6040088); ID=FBpp0076748; name=Jon65Aiv-PA; parent=FBgn0250815,FBtr0077040; dbxref=FlyBase:FBpp0076748,FlyBase_Annotation_IDs:CG6467-PA,GB_protein:AAF50714.1,REFSEQ:NP_648012,GB_protein:AAF50714,FlyMine:FBpp0076748,modMine:FBpp0076748; MD5=2fb3bc1d56fb0cd8329fbc2f8f6ad85b; length=271; release=r6.02; species=Dmel; 
FBpp0086785          -          CLIPC                -            5.1e-42  145.0   0.7   6.3e-42  144.7   0.7   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:13434212..13434994; ID=FBpp0086785; name=Ser8-PA; parent=FBgn0019928,FBtr0087664; dbxref=FlyBase:FBpp0086785,FlyBase_Annotation_IDs:CG4812-PA,GB_protein:AAF58377.1,REFSEQ:NP_610874,GB_protein:AAF58377,FlyMine:FBpp0086785,modMine:FBpp0086785; MD5=22c4b82a48ba5f2d2d3aceb438886126; length=260; release=r6.02; species=Dmel; 
FBpp0083021          -          CLIPC                -            8.9e-42  144.2   0.1     1e-41  144.0   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:complement(18278281..18279285); ID=FBpp0083021; name=CG7142-PA; parent=FBgn0038595,FBtr0083600; dbxref=FlyBase:FBpp0083021,FlyBase_Annotation_IDs:CG7142-PA,GB_protein:AAF55527.1,REFSEQ:NP_650703,GB_protein:AAF55527,FlyMine:FBpp0083021,modMine:FBpp0083021; MD5=f8507ab0f0c8fef73bf43c5634fa5c8b; length=334; release=r6.02; species=Dmel; 
FBpp0077482          -          CLIPC                -            1.2e-41  143.8   0.0   1.5e-41  143.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(2251584..2252330); ID=FBpp0077482; name=CG17239-PA; parent=FBgn0042186,FBtr0077805; dbxref=FlyBase:FBpp0077482,FlyBase_Annotation_IDs:CG17239-PA,GB_protein:AAF51279.1,REFSEQ:NP_722784,GB_protein:AAF51279,FlyMine:FBpp0077482,modMine:FBpp0077482; MD5=23d463a0853a78e92b0d86e571b48ab7; length=248; release=r6.02; species=Dmel; 
FBpp0307159          -          CLIPC                -            1.2e-41  143.8   0.0   1.5e-41  143.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(2251584..2252330); ID=FBpp0307159; name=CG17239-PB; parent=FBgn0042186,FBtr0335163; dbxref=REFSEQ:NP_001259920,GB_protein:AGB92457,FlyBase:FBpp0307159,FlyBase_Annotation_IDs:CG17239-PB; MD5=23d463a0853a78e92b0d86e571b48ab7; length=248; release=r6.02; species=Dmel; 
FBpp0076746          -          CLIPC                -            1.7e-41  143.3   0.2   2.1e-41  142.9   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:join(6035243..6035502,6035559..6036111); ID=FBpp0076746; name=yip7-PA; parent=FBgn0040060,FBtr0077038; dbxref=FlyBase:FBpp0076746,FlyBase_Annotation_IDs:CG6457-PA,GB_protein:AAF50716.1,REFSEQ:NP_523944,GB_protein:AAF50716,FlyMine:FBpp0076746,modMine:FBpp0076746; MD5=648f472824677b775de9079606355c31; length=270; release=r6.02; species=Dmel; 
FBpp0073978          -          CLIPC                -            1.7e-41  143.3   0.0   2.2e-41  142.9   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=X:complement(join(15766310..15766411,15765507..15766235)); ID=FBpp0073978; name=CG8952-PA; parent=FBgn0030688,FBtr0074193; dbxref=FlyBase:FBpp0073978,FlyBase_Annotation_IDs:CG8952-PA,GB_protein:AAF48510.1,REFSEQ:NP_573072,GB_protein:AAF48510,FlyMine:FBpp0073978,modMine:FBpp0073978; MD5=cbdde8d259d5cb0efa3a1cf226dbfade; length=276; release=r6.02; species=Dmel; 
FBpp0082846          -          CLIPC                -              2e-41  143.0   0.4   2.5e-41  142.7   0.4   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:17136205..17137023; ID=FBpp0082846; name=CG5246-PA; parent=FBgn0038484,FBtr0083405; dbxref=FlyBase:FBpp0082846,FlyBase_Annotation_IDs:CG5246-PA,GB_protein:AAF55395.1,REFSEQ:NP_650603,GB_protein:AAF55395,FlyMine:FBpp0082846,modMine:FBpp0082846; MD5=fffeacba983f509ad48c77962b68adf3; length=272; release=r6.02; species=Dmel; 
FBpp0087257          -          CLIPC                -            2.1e-41  143.0   2.5   2.6e-41  142.6   2.5   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:complement(11344322..11345092); ID=FBpp0087257; name=alphaTry-PA; parent=FBgn0003863,FBtr0088161; dbxref=GB_protein:AAF58659.1,FlyBase:FBpp0087257,FlyBase_Annotation_IDs:CG18444-PA,REFSEQ:NP_476771,GB_protein:AAF58659,FlyMine:FBpp0087257,modMine:FBpp0087257; MD5=d5db5668e0324b939c93452e728ccd4d; length=256; release=r6.02; species=Dmel; 
FBpp0087783          -          CLIPC                -            2.4e-41  142.8   0.0   2.9e-41  142.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:8691469..8692284; ID=FBpp0087783; name=Jon44E-PA; parent=FBgn0001285,FBtr0088704; dbxref=FlyBase:FBpp0087783,FlyBase_Annotation_IDs:CG8579-PA,GB_protein:AAF59060.2,REFSEQ:NP_724699,GB_protein:AAF59060,FlyMine:FBpp0087783,modMine:FBpp0087783; MD5=c18e05e4fcf20834f73fdd482ef6d920; length=271; release=r6.02; species=Dmel; 
FBpp0311716          -          CLIPC                -            2.4e-41  142.8   0.0   2.9e-41  142.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:8691469..8692284; ID=FBpp0311716; name=Jon44E-PB; parent=FBgn0001285,FBtr0345661; dbxref=FlyBase:FBpp0311716,FlyBase_Annotation_IDs:CG8579-PB,GB_protein:AHN56001,REFSEQ:NP_001286203; MD5=c18e05e4fcf20834f73fdd482ef6d920; length=271; release=r6.02; species=Dmel; 
FBpp0087254          -          CLIPC                -            2.6e-41  142.6   1.9   3.1e-41  142.4   1.9   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:complement(11353598..11354359); ID=FBpp0087254; name=CG30025-PA; parent=FBgn0050025,FBtr0088158; dbxref=FlyBase:FBpp0087254,FlyBase_Annotation_IDs:CG30025-PA,GB_protein:AAM68732.1,REFSEQ:NP_725036,GB_protein:AAM68732,FlyMine:FBpp0087254,modMine:FBpp0087254; MD5=92ca47db4d5eb29fab0ae4d0205a96da; length=253; release=r6.02; species=Dmel; 
FBpp0087224          -          CLIPC                -            2.7e-41  142.6   1.9   3.2e-41  142.4   1.9   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:11350827..11351588; ID=FBpp0087224; name=CG30031-PA; parent=FBgn0050031,FBtr0088123; dbxref=FlyBase:FBpp0087224,FlyBase_Annotation_IDs:CG30031-PA,GB_protein:AAM68731.1,REFSEQ:NP_725035,GB_protein:AAM68731; MD5=a75f4547618c6fad0c13b6298d52afda; length=253; release=r6.02; species=Dmel; 
FBpp0087225          -          CLIPC                -            2.7e-41  142.6   1.9   3.2e-41  142.4   1.9   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:11355333..11356094; ID=FBpp0087225; name=deltaTry-PA; parent=FBgn0010358,FBtr0088124; dbxref=FlyBase:FBpp0087225,FlyBase_Annotation_IDs:CG12351-PA,GB_protein:AAF58657.2,REFSEQ:NP_523694,GB_protein:AAF58657; MD5=a75f4547618c6fad0c13b6298d52afda; length=253; release=r6.02; species=Dmel; 
FBpp0087255          -          CLIPC                -            2.7e-41  142.6   1.9   3.2e-41  142.4   1.9   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:complement(11349094..11349855); ID=FBpp0087255; name=gammaTry-PA; parent=FBgn0010359,FBtr0088159; dbxref=GB_protein:AAM68730.1,FlyBase:FBpp0087255,FlyBase_Annotation_IDs:CG30028-PA,REFSEQ:NP_725034,GB_protein:AAM68730,FlyMine:FBpp0087255,modMine:FBpp0087255; MD5=a75f4547618c6fad0c13b6298d52afda; length=253; release=r6.02; species=Dmel; 
FBpp0080250          -          CLIPC                -            2.7e-41  142.6   0.5   3.6e-41  142.2   0.5   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(join(14784352..14784586,14784229..14784274,14783990..14784165,14783342..14783934)); ID=FBpp0080250; name=CG18636-PA; parent=FBgn0032551,FBtr0080688; dbxref=FlyBase_Annotation_IDs:CG18636-PA,FlyBase:FBpp0080250,GB_protein:AAS64709.1,GB_protein:AAS64709.2,REFSEQ:NP_995714,GB_protein:AAS64709,FlyMine:FBpp0080250,modMine:FBpp0080250; MD5=79c68fb0fcf6ade16632b3e9c14dd3f0; length=349; release=r6.02; species=Dmel; 
FBpp0110070          -          CLIPC                -            4.2e-41  142.0   0.0   5.1e-41  141.7   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:join(16454567..16455180,16455485..16455525,16455599..16455750); ID=FBpp0110070; name=CG10405-PB; parent=FBgn0038431,FBtr0110773; dbxref=FlyBase:FBpp0110070,FlyBase_Annotation_IDs:CG10405-PB,REFSEQ:NP_001036717,GB_protein:ABI31173,FlyMine:FBpp0110070,modMine:FBpp0110070; MD5=58bf386effd915e03d6798b16eb1ff64; length=268; release=r6.02; species=Dmel; 
FBpp0087223          -          CLIPC                -            4.5e-41  141.9   1.1   5.3e-41  141.6   1.1   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:11346342..11347103; ID=FBpp0087223; name=betaTry-PA; parent=FBgn0010357,FBtr0088122; dbxref=GB_protein:AAF58658.2,FlyBase:FBpp0087223,FlyBase_Annotation_IDs:CG18211-PA,REFSEQ:NP_524904,GB_protein:AAF58658,FlyMine:FBpp0087223,modMine:FBpp0087223; MD5=380a5cdfa1fd7a783898081932c98de1; length=253; release=r6.02; species=Dmel; 
FBpp0311842          -          CLIPC                -            4.5e-41  141.9   1.1   5.3e-41  141.6   1.1   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:11346342..11347103; ID=FBpp0311842; name=betaTry-PB; parent=FBgn0010357,FBtr0345928; dbxref=FlyBase:FBpp0311842,FlyBase_Annotation_IDs:CG18211-PB,GB_protein:AHN56112,REFSEQ:NP_001286314; MD5=380a5cdfa1fd7a783898081932c98de1; length=253; release=r6.02; species=Dmel; 
FBpp0289635          -          CLIPC                -            4.9e-41  141.7   0.0   6.3e-41  141.4   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3R:complement(join(14223882..14224079,14223643..14223808,14222752..14223532,14222128..14222533)); ID=FBpp0289635; name=Sp212-PC; parent=FBgn0053329,FBtr0300406; dbxref=REFSEQ:NP_996209,GB_protein:AAS65151,FlyBase:FBpp0289635,FlyBase_Annotation_IDs:CG33329-PC,FlyMine:FBpp0289635,modMine:FBpp0289635; MD5=f57e9b29914eafd01b2816697a8dbcd5; length=516; release=r6.02; species=Dmel; 
FBpp0070828          -          CLIPC                -            5.3e-41  141.6   0.0   7.4e-41  141.2   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=X:join(5952598..5952664,5952732..5952957,5953215..5954010); ID=FBpp0070828; name=CG6048-PA; parent=FBgn0029827,FBtr0070863; dbxref=FlyBase:FBpp0070828,FlyBase_Annotation_IDs:CG6048-PA,GB_protein:AAF46105.1,REFSEQ:NP_572282,GB_protein:AAF46105,FlyMine:FBpp0070828,modMine:FBpp0070828; MD5=5ee584793635fd46db1c0d0f9097bfbb; length=362; release=r6.02; species=Dmel; 
FBpp0072967          -          CLIPC                -            8.3e-41  141.0   0.5   1.1e-40  140.6   0.5   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:complement(3202314..3203060); ID=FBpp0072967; name=CG32271-PA; parent=FBgn0052271,FBtr0073105; dbxref=FlyBase:FBpp0072967,FlyBase_Annotation_IDs:CG32271-PA,GB_protein:AAN11543.1,REFSEQ:NP_728833,GB_protein:AAN11543,FlyMine:FBpp0072967,modMine:FBpp0072967; MD5=b4549493f1a37caaab56835f34a2c91c; length=248; release=r6.02; species=Dmel; 
FBpp0074138          -          CLIPC                -            1.2e-40  140.5   0.0   1.5e-40  140.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=X:complement(join(16699912..16700138,16699328..16699856)); ID=FBpp0074138; name=CG9676-PA; parent=FBgn0030773,FBtr0074364; dbxref=FlyBase:FBpp0074138,FlyBase_Annotation_IDs:CG9676-PA,GB_protein:AAF48647.1,REFSEQ:NP_728008,GB_protein:AAF48647,FlyMine:FBpp0074138,modMine:FBpp0074138; MD5=5953c5ee54cf9ec610f529e87737685e; length=251; release=r6.02; species=Dmel; 
FBpp0077373          -          CLIPC                -            1.5e-40  140.1   0.0     2e-40  139.7   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(join(2845526..2845711,2844619..2845464)); ID=FBpp0077373; name=CG18557-PA; parent=FBgn0031470,FBtr0077689; dbxref=FlyBase:FBpp0077373,FlyBase_Annotation_IDs:CG18557-PA,GB_protein:AAF51195.1,REFSEQ:NP_608721,GB_protein:AAF51195,FlyMine:FBpp0077373,modMine:FBpp0077373; MD5=f54e90fdfd5f6739971beb08fd7e7c37; length=343; release=r6.02; species=Dmel; 
FBpp0291260          -          CLIPC                -            1.8e-40  139.9   0.0   7.5e-40  137.8   0.0   1.8   1   1   0   1   1   1   1 type=protein; loc=2R:join(9704407..9704698,9704755..9704806,9704871..9705064,9705137..9705534); ID=FBpp0291260; name=CG30002-PB; parent=FBgn0260474,FBtr0302050; dbxref=REFSEQ:NP_001163100,GB_protein:ACZ94377,FlyBase:FBpp0291260,FlyBase_Annotation_IDs:CG30002-PB,FlyMine:FBpp0291260,modMine:FBpp0291260; MD5=e121b60cc8c9bd030e223e3310b0fea1; length=311; release=r6.02; species=Dmel; 
FBpp0072966          -          CLIPC                -            4.2e-40  138.7   0.0   5.5e-40  138.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:complement(3203675..3204448); ID=FBpp0072966; name=CG33159-PA; parent=FBgn0053159,FBtr0073104; dbxref=FlyBase:FBpp0072966,FlyBase_Annotation_IDs:CG33159-PA,GB_protein:AAF47737.2,REFSEQ:NP_788455,GB_protein:AAF47737,FlyMine:FBpp0072966,modMine:FBpp0072966; MD5=d4d94b899ae5987c8c0612f2a99f6bc2; length=257; release=r6.02; species=Dmel; 
FBpp0076749          -          CLIPC                -            5.2e-40  138.4   1.3   6.4e-40  138.1   1.3   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:join(6050777..6051036,6051096..6051660); ID=FBpp0076749; name=Jon65Aiii-PA; parent=FBgn0035665,FBtr0077041; dbxref=FlyBase:FBpp0076749,FlyBase_Annotation_IDs:CG6483-PA,GB_protein:AAF50713.1,REFSEQ:NP_648013,GB_protein:AAF50713,FlyMine:FBpp0076749,modMine:FBpp0076749; MD5=7e7b32b9f787f590d185c2ec6f5e385e; length=274; release=r6.02; species=Dmel; 
FBpp0288806          -          CLIPC                -            5.7e-40  138.2   0.2   7.5e-40  137.9   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:complement(join(24289658..24289790,24289451..24289598,24289293..24289397,24289066..24289184,24288816..24289011,24288608..24288755)); ID=FBpp0288806; name=CG34290-PB; parent=FBgn0085319,FBtr0299531; dbxref=FlyBase:FBpp0288806,FlyBase_Annotation_IDs:CG34290-PB,REFSEQ:NP_001097899,GB_protein:ABW08748,FlyMine:FBpp0288806,modMine:FBpp0288806; MD5=0c4d967a9322b1fa7ffd23bd7dc233e9; length=282; release=r6.02; species=Dmel; 
FBpp0112313          -          CLIPC                -            5.8e-40  138.2   0.0   7.2e-40  137.9   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:join(17127131..17127856,17127996..17128091); ID=FBpp0112313; name=CG31269-PB; parent=FBgn0051269,FBtr0113401; dbxref=FlyBase:FBpp0112313,FlyBase_Annotation_IDs:CG31269-PB,REFSEQ:NP_001097818,GB_protein:AAN13736,FlyMine:FBpp0112313,modMine:FBpp0112313; MD5=6c687691d7fc438108617371d5f1af9d; length=273; release=r6.02; species=Dmel; 
FBpp0291522          -          CLIPC                -              7e-40  137.9   0.3     1e-38  134.1   0.3   2.0   1   1   0   1   1   1   1 type=protein; loc=2R:complement(join(23385113..23385326,23385005..23385047,23384702..23384949,23384234..23384646)); ID=FBpp0291522; name=CG30414-PB; parent=FBgn0050414,FBtr0302316; dbxref=REFSEQ:NP_001163264,GB_protein:ACZ94536,FlyBase:FBpp0291522,FlyBase_Annotation_IDs:CG30414-PB,FlyMine:FBpp0291522,modMine:FBpp0291522; MD5=c145abdb8440ef93353f3d84769d52a0; length=305; release=r6.02; species=Dmel; 
FBpp0309892          -          CLIPC                -              7e-40  137.9   0.3     1e-38  134.1   0.3   2.0   1   1   0   1   1   1   1 type=protein; loc=2R:complement(join(23385113..23385326,23385005..23385047,23384702..23384949,23384234..23384646)); ID=FBpp0309892; name=CG30414-PC; parent=FBgn0050414,FBtr0343204; dbxref=FlyBase:FBpp0309892,FlyBase_Annotation_IDs:CG30414-PC,GB_protein:AAF46994,REFSEQ:NP_611789; MD5=c145abdb8440ef93353f3d84769d52a0; length=305; release=r6.02; species=Dmel; 
FBpp0300809          -          CLIPC                -            1.1e-39  137.4   0.0   1.3e-39  137.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:complement(join(21539056..21539293,21538959..21539001,21538723..21538901,21538250..21538668)); ID=FBpp0300809; name=CG33226-PC; parent=FBgn0069056,FBtr0308585; dbxref=FlyBase:FBpp0300809,FlyBase_Annotation_IDs:CG33226-PC,REFSEQ:NP_995917,GB_protein:AAS64905; MD5=38528bf740cf6e1f4b1d7c015e3a12a1; length=292; release=r6.02; species=Dmel; 
FBpp0087226          -          CLIPC                -            1.2e-39  137.1   0.2   1.5e-39  136.9   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:11356743..11357501; ID=FBpp0087226; name=iotaTry-PA; parent=FBgn0015001,FBtr0088125; dbxref=FlyBase:FBpp0087226,FlyBase_Annotation_IDs:CG7754-PA,GB_protein:AAF58655.1,REFSEQ:NP_523695,GB_protein:AAF58655,FlyMine:FBpp0087226,modMine:FBpp0087226; MD5=b7e6e6ad119e6a7c894ac91e7fe6b5bd; length=252; release=r6.02; species=Dmel; 
FBpp0082032          -          CLIPC                -            1.6e-39  136.8   0.0   2.1e-39  136.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:join(12229456..12230091,12230152..12230319); ID=FBpp0082032; name=CG3916-PA; parent=FBgn0038003,FBtr0082560; dbxref=FlyBase:FBpp0082032,FlyBase_Annotation_IDs:CG3916-PA,GB_protein:AAF54765.1,REFSEQ:NP_650167,GB_protein:AAF54765,FlyMine:FBpp0082032,modMine:FBpp0082032; MD5=9d725781c42a5e4a740a2ef3ebc95b1a; length=267; release=r6.02; species=Dmel; 
FBpp0087551          -          CLIPC                -            1.7e-39  136.7   0.1   5.5e-39  135.0   0.1   1.7   1   1   0   1   1   1   1 type=protein; loc=2R:join(9706292..9706583,9706640..9706691,9706755..9706948,9707021..9707436); ID=FBpp0087551; name=CG1773-PA; parent=FBgn0033439,FBtr0088467; dbxref=FlyBase:FBpp0087551,FlyBase_Annotation_IDs:CG1773-PA,GB_protein:AAF58909.2,REFSEQ:NP_610512,GB_protein:AAF58909,FlyMine:FBpp0087551,modMine:FBpp0087551; MD5=65f59720973a6c64cc0b08a0c02e7ade; length=317; release=r6.02; species=Dmel; 
FBpp0082090          -          CLIPC                -            2.3e-39  136.3   0.0   2.8e-39  136.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:complement(join(12226245..12226338,12225582..12226183,12225364..12225519)); ID=FBpp0082090; name=CG12256-PA; parent=FBgn0038002,FBtr0082621; dbxref=FlyBase:FBpp0082090,FlyBase_Annotation_IDs:CG12256-PA,GB_protein:AAF54764.1,GB_protein:AAF54764.2,REFSEQ:NP_650166,GB_protein:AAF54764,FlyMine:FBpp0082090,modMine:FBpp0082090; MD5=873ed124e59fe4b1dfaa72f6fded7c15; length=283; release=r6.02; species=Dmel; 
FBpp0081536          -          CLIPC                -            2.8e-39  136.0   0.1   3.7e-39  135.6   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:complement(join(9330194..9330325,9329641..9330003,9329276..9329578)); ID=FBpp0081536; name=CG12951-PA; parent=FBgn0037677,FBtr0082058; dbxref=FlyBase:FBpp0081536,FlyBase_Annotation_IDs:CG12951-PA,GB_protein:AAF54356.1,REFSEQ:NP_649880,GB_protein:AAF54356,FlyMine:FBpp0081536,modMine:FBpp0081536; MD5=6d7833367b92eb8b5745ea944229984a; length=265; release=r6.02; species=Dmel; 
FBpp0081535          -          CLIPC                -            3.7e-39  135.6   0.2   4.8e-39  135.2   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:complement(join(9331748..9331879,9331320..9331682,9330954..9331256)); ID=FBpp0081535; name=CG16749-PA; parent=FBgn0037678,FBtr0082057; dbxref=FlyBase:FBpp0081535,FlyBase_Annotation_IDs:CG16749-PA,GB_protein:AAF54357.1,REFSEQ:NP_649881,GB_protein:AAF54357,FlyMine:FBpp0081535,modMine:FBpp0081535; MD5=d27bc5b556a52e0f99d2b9f171af8032; length=265; release=r6.02; species=Dmel; 
FBpp0080316          -          CLIPC                -              6e-39  134.9   0.0   7.6e-39  134.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:join(15670239..15670322,15670423..15671223); ID=FBpp0080316; name=CG18478-PA; parent=FBgn0028517,FBtr0080757; dbxref=FlyBase:FBpp0080316,FlyBase_Annotation_IDs:CG18478-PA,GB_protein:AAG22434.1,REFSEQ:NP_609764,GB_protein:AAG22434,FlyMine:FBpp0080316,modMine:FBpp0080316; MD5=c1f3f6f5477878299bb22e67bc319be6; length=294; release=r6.02; species=Dmel; 
FBpp0080318          -          CLIPC                -              6e-39  134.9   0.0   7.6e-39  134.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:join(15705236..15705319,15705420..15706220); ID=FBpp0080318; name=CG31827-PA; parent=FBgn0051827,FBtr0080759; dbxref=FlyBase:FBpp0080318,FlyBase_Annotation_IDs:CG31827-PA,GB_protein:AAN10906.1,REFSEQ:NP_723923,GB_protein:AAN10906; MD5=c1f3f6f5477878299bb22e67bc319be6; length=294; release=r6.02; species=Dmel; 
FBpp0072964          -          CLIPC                -            7.6e-39  134.5   0.0   8.8e-39  134.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:complement(3205587..3206363); ID=FBpp0072964; name=CG33160-PA; parent=FBgn0053160,FBtr0073102; dbxref=FlyBase:FBpp0072964,FlyBase_Annotation_IDs:CG33160-PA,GB_protein:AAF47738.2,REFSEQ:NP_788456,GB_protein:AAF47738,FlyMine:FBpp0072964,modMine:FBpp0072964; MD5=6979565063fd95aca415832b4217a9a1; length=258; release=r6.02; species=Dmel; 
FBpp0082843          -          CLIPC                -              9e-39  134.3   0.0   1.1e-38  134.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:17128246..17129046; ID=FBpp0082843; name=CG31265-PA; parent=FBgn0051265,FBtr0083402; dbxref=GB_protein:AAF55392.2,FlyBase:FBpp0082843,FlyBase_Annotation_IDs:CG31265-PA,REFSEQ:NP_650599,GB_protein:AAF55392,FlyMine:FBpp0082843,modMine:FBpp0082843; MD5=1bada7c60a5a884a5b8eef0c9898139e; length=266; release=r6.02; species=Dmel; 
FBpp0077990          -          CLIPC                -            1.3e-38  133.8   0.2   1.5e-38  133.6   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:complement(join(20960727..20961384,20960430..20960650)); ID=FBpp0077990; name=CG11037-PA; parent=FBgn0037038,FBtr0078334; dbxref=FlyBase:FBpp0077990,FlyBase_Annotation_IDs:CG11037-PA,GB_protein:AAF51662.2,REFSEQ:NP_649272,GB_protein:AAF51662,FlyMine:FBpp0077990,modMine:FBpp0077990; MD5=1ccbf149da36d3a599a978a1c5add66e; length=292; release=r6.02; species=Dmel; 
FBpp0292250          -          CLIPC                -            1.4e-38  133.7   0.2   2.4e-38  132.9   0.2   1.3   1   1   0   1   1   1   1 type=protein; loc=3R:join(23684057..23684129,23684384..23684705,23685181..23685414,23685480..23685876); ID=FBpp0292250; name=CG18754-PB; parent=FBgn0042106,FBtr0303151; dbxref=FlyBase:FBpp0292250,FlyBase_Annotation_IDs:CG18754-PB,REFSEQ:NP_652652,GB_protein:AAG22168,FlyMine:FBpp0292250,modMine:FBpp0292250; MD5=0e6e41da21fe3c097fd673a78fd1dc93; length=341; release=r6.02; species=Dmel; 
