#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0275484          -          BGBP                 -           2.8e-126  421.7   0.0  3.5e-126  421.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=XR_group6:join(11579122..11579248,11579310..11580484,11580551..11580748); ID=FBpp0275484; name=Dpse\GA19936-PA; parent=FBgn0079932,FBtr0277046; dbxref=FlyBase:FBpp0275484,FlyBase_Annotation_IDs:GA19936-PA,GB_protein:EAL29729,REFSEQ:XP_001353993,FlyMine:FBpp0275484,modMine:FBpp0275484; MD5=9f0905dd479084674a581a4a75b0c605; length=499; release=r3.2; species=Dpse; 
FBpp0284754          -          CLIPD                -              3e-74  249.7   1.4   3.7e-74  249.4   1.4   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(27015076..27015145,27015550..27015930,27015989..27016097,27016159..27016445,27016508..27016812); ID=FBpp0284754; name=Dpse\GA15903-PA; parent=FBgn0075919,FBtr0286316; dbxref=FlyBase:FBpp0284754,FlyBase_Annotation_IDs:GA15903-PA,GB_protein:EAL28934,REFSEQ:XP_001359782,FlyMine:FBpp0284754,modMine:FBpp0284754; MD5=4f44dfb4eced4965d8094b791c811764; length=383; release=r3.2; species=Dpse; 
FBpp0284752          -          CLIPD                -              4e-74  249.4   1.4   4.9e-74  249.1   1.4   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(26996106..26996175,26996580..26996960,26997019..26997127,26997189..26997475,26997538..26997842); ID=FBpp0284752; name=Dpse\GA27509-PA; parent=FBgn0248874,FBtr0286314; dbxref=FlyBase:FBpp0284752,FlyBase_Annotation_IDs:GA27509-PA,GB_protein:EDY68533,REFSEQ:XP_002137975,FlyMine:FBpp0284752,modMine:FBpp0284752; MD5=9943d8fe8a03e9cfaa152e5027f212a1; length=383; release=r3.2; species=Dpse; 
FBpp0307518          -          CLIPD                -            3.3e-70  236.5   9.3   5.8e-70  235.7   8.9   1.6   2   0   0   2   2   1   1 type=protein; loc=3:complement(12299140..12299451,12299511..12299656,12299724..12299850,12299911..12300070,12300164..12300347,12300412..12300738,12300800..12301200,12301401..12301498,12301550..12301879,12301942..12302111,12302172..12303705,12304236..12304470,12304540..12304613); ID=FBpp0307518; name=Dpse\GA15245-PB; parent=FBgn0075269,FBtr0336412; dbxref=REFSEQ:XP_001361394,GB_protein:EAL25972,FlyBase:FBpp0307518,FlyBase_Annotation_IDs:GA15245-PB; MD5=e83847e5f55a61a4e2f554db1e0faaaf; length=1365; release=r3.2; species=Dpse; 
FBpp0283597          -          CLIPD                -            4.6e-70  236.0   1.1     6e-70  235.6   1.1   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(8596013..8596082,8596143..8596315,8596383..8596596,8596658..8596706,8596771..8596964,8597025..8597449); ID=FBpp0283597; name=Dpse\GA19211-PA; parent=FBgn0079208,FBtr0285159; dbxref=FlyBase:FBpp0283597,FlyBase_Annotation_IDs:GA19211-PA,GB_protein:EAL27425,REFSEQ:XP_001358287,FlyMine:FBpp0283597,modMine:FBpp0283597; MD5=6d15d7195d33c317f1eac1b84d676ab4; length=374; release=r3.2; species=Dpse; 
FBpp0283598          -          CLIPD                -            1.2e-69  234.6   1.1   1.5e-69  234.3   1.1   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(8599184..8599262,8599329..8599483,8599547..8599875,8599939..8600548); ID=FBpp0283598; name=Dpse\GA27102-PA; parent=FBgn0248473,FBtr0285160; dbxref=FlyBase:FBpp0283598,FlyBase_Annotation_IDs:GA27102-PA,GB_protein:EDY67816,REFSEQ:XP_002137258,FlyMine:FBpp0283598,modMine:FBpp0283598; MD5=2b27aee9ca36a7aa1c92028efc29c494; length=390; release=r3.2; species=Dpse; 
FBpp0281336          -          CLIPD                -            5.2e-69  232.6   0.4   6.4e-69  232.3   0.4   1.0   1   0   0   1   1   1   1 type=protein; loc=2:complement(24813300..24814024,24814090..24814306,24814378..24814541,24814720..24814789); ID=FBpp0281336; name=Dpse\GA10711-PA; parent=FBgn0070767,FBtr0282898; dbxref=FlyBase:FBpp0281336,FlyBase_Annotation_IDs:GA10711-PA,GB_protein:EAL28768,REFSEQ:XP_001359618,FlyMine:FBpp0281336,modMine:FBpp0281336; MD5=4366b9454b1032ac5adf5d4a106a4e77; length=391; release=r3.2; species=Dpse; 
FBpp0288328          -          CLIPD                -            9.4e-69  231.7   0.8   2.1e-68  230.6   0.9   1.5   1   1   0   1   1   1   1 type=protein; loc=XR_group5:join(511010..511400,511458..513674,513730..514121,514185..514340,514402..515173,515240..515332,515393..515476,515537..515673); ID=FBpp0288328; name=Dpse\GA29318-PA; parent=FBgn0250676,FBtr0289890; dbxref=FlyBase:FBpp0288328,FlyBase_Annotation_IDs:GA29318-PA,GB_protein:EDY73350,REFSEQ:XP_002134723,FlyMine:FBpp0288328,modMine:FBpp0288328; MD5=894f30c337ae5db7b0740afc91ab52d7; length=1413; release=r3.2; species=Dpse; 
FBpp0286020          -          CLIPD                -            3.3e-68  229.9   0.0   5.2e-68  229.3   0.0   1.4   1   1   0   1   1   1   1 type=protein; loc=XR_group8:complement(8313614..8313936,8313996..8314273,8314341..8315292,8315351..8316313,8316381..8316536,8316603..8316902,8316958..8317107,8317177..8317300); ID=FBpp0286020; name=Dpse\GA13420-PA; parent=FBgn0073456,FBtr0287582; dbxref=FlyBase:FBpp0286020,FlyBase_Annotation_IDs:GA13420-PA,GB_protein:EAL30537,REFSEQ:XP_001353036,FlyMine:FBpp0286020,modMine:FBpp0286020; MD5=6d5d0a5cb9f25c758507b4e110fbd4bb; length=1081; release=r3.2; species=Dpse; 
FBpp0283243          -          CLIPD                -            2.4e-67  227.1   0.7   3.1e-67  226.8   0.7   1.1   1   0   0   1   1   1   1 type=protein; loc=2:join(3014123..3014210,3014280..3014666,3014727..3015036,3015102..3015528); ID=FBpp0283243; name=Dpse\GA14092-PA; parent=FBgn0074123,FBtr0284805; dbxref=FlyBase:FBpp0283243,FlyBase_Annotation_IDs:GA14092-PA,GB_protein:EAL26952,REFSEQ:XP_001357817,FlyMine:FBpp0283243,modMine:FBpp0283243; MD5=600ecc4400e5bf5c54859350bc83e15a; length=403; release=r3.2; species=Dpse; 
FBpp0283847          -          CLIPD                -            5.1e-67  226.0   0.3   6.5e-67  225.7   0.3   1.1   1   0   0   1   1   1   1 type=protein; loc=2:join(12527233..12527299,12527549..12527938,12527997..12528727); ID=FBpp0283847; name=Dpse\GA18526-PA; parent=FBgn0078528,FBtr0285409; dbxref=FlyBase:FBpp0283847,FlyBase_Annotation_IDs:GA18526-PA,GB_protein:EAL27739,REFSEQ:XP_001358598,FlyMine:FBpp0283847,modMine:FBpp0283847; MD5=64e6d426227a251f80d18d03f997c026; length=395; release=r3.2; species=Dpse; 
FBpp0283136          -          CLIPD                -            1.7e-66  224.3   0.3   2.1e-66  224.0   0.3   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(1437432..1437492,1437844..1438459,1439356..1439950); ID=FBpp0283136; name=Dpse\GA21994-PA; parent=FBgn0081979,FBtr0284698; dbxref=FlyBase:FBpp0283136,FlyBase_Annotation_IDs:GA21994-PA,GB_protein:EAL26817,REFSEQ:XP_001357683,FlyMine:FBpp0283136,modMine:FBpp0283136; MD5=55e9cc93c54d15f7fcb8032516c8f7d9; length=423; release=r3.2; species=Dpse; 
FBpp0283137          -          CLIPD                -            2.4e-66  223.8   0.2   3.3e-66  223.4   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(1440980..1441490,1441553..1441649,1441709..1442007,1442072..1442421); ID=FBpp0283137; name=Dpse\GA21997-PA; parent=FBgn0081982,FBtr0284699; dbxref=FlyBase:FBpp0283137,FlyBase_Annotation_IDs:GA21997-PA,GB_protein:EAL26818,REFSEQ:XP_001357684,FlyMine:FBpp0283137,modMine:FBpp0283137; MD5=202481b452c15bf4f8dfce6386b9a87d; length=418; release=r3.2; species=Dpse; 
FBpp0280598          -          CLIPD                -            2.8e-66  223.6   0.3   3.8e-66  223.2   0.3   1.0   1   0   0   1   1   1   1 type=protein; loc=4_group3:join(5233105..5233373,5233443..5233998); ID=FBpp0280598; name=Dpse\GA16585-PA; parent=FBgn0076600,FBtr0282160; dbxref=FlyBase:FBpp0280598,FlyBase_Annotation_IDs:GA16585-PA,GB_protein:EAL33768,REFSEQ:XP_001356703,FlyMine:FBpp0280598,modMine:FBpp0280598; MD5=58f48dc91b1741461c95972a50b7dba1; length=274; release=r3.2; species=Dpse; 
FBpp0278382          -          CLIPD                -            4.1e-66  223.1   1.8   9.3e-66  221.9   1.8   1.5   1   1   0   1   1   1   1 type=protein; loc=3:join(13729691..13730203,13730257..13731132); ID=FBpp0278382; name=Dpse\GA21292-PA; parent=FBgn0081280,FBtr0279944; dbxref=FlyBase:FBpp0278382,FlyBase_Annotation_IDs:GA21292-PA,GB_protein:EAL26101,REFSEQ:XP_001361523,FlyMine:FBpp0278382,modMine:FBpp0278382; MD5=81012c2e792c966ebdd19653647c9879; length=462; release=r3.2; species=Dpse; 
FBpp0292749          -          CLIPD                -            4.7e-66  222.9   0.6   5.6e-66  222.6   0.6   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(8596190..8596315,8596383..8596596,8596658..8596706,8596771..8596964,8597025..8597449); ID=FBpp0292749; name=Dpse\GA19211-PB; parent=FBgn0079208,FBtr0303734; dbxref=REFSEQ:XP_003736424,GB_protein:EIM52497,FlyBase:FBpp0292749,FlyBase_Annotation_IDs:GA19211-PB,FlyMine:FBpp0292749,modMine:FBpp0292749; MD5=b8be1b881c66dddae825d418722c2670; length=335; release=r3.2; species=Dpse; 
FBpp0274578          -          CLIPD                -            4.1e-65  219.8   8.1   1.1e-64  218.4   8.0   1.8   1   1   0   1   1   1   1 type=protein; loc=XR_group6:complement(3255434..3255673,3255731..3255947,3256018..3256132,3256191..3256669,3256737..3257447,3257534..3257829,3258949..3259011); ID=FBpp0274578; name=Dpse\GA10477-PA; parent=FBgn0070534,FBtr0276140; dbxref=FlyBase:FBpp0274578,FlyBase_Annotation_IDs:GA10477-PA,GB_protein:EAL30903,REFSEQ:XP_001353396,FlyMine:FBpp0274578,modMine:FBpp0274578; MD5=b08fc196f9ecf37af6cb86b2ba90c680; length=706; release=r3.2; species=Dpse; 
FBpp0286973          -          CLIPD                -            8.5e-65  218.8   1.0   1.1e-55  188.9   0.0   2.7   2   1   0   2   2   2   2 type=protein; loc=XR_group8:join(5343327..5343345,5343734..5343877,5343941..5345533,5345597..5346669,5346731..5347213,5347269..5347602,5347659..5348781,5348841..5349010,5349072..5349185,5349242..5350034,5350090..5350281,5350337..5350806,5350878..5351169,5351233..5351340,5351403..5351546,5351603..5352020); ID=FBpp0286973; name=Dpse\GA10095-PA; parent=FBgn0070154,FBtr0288535; dbxref=FlyBase:FBpp0286973,FlyBase_Annotation_IDs:GA10095-PA,GB_protein:EAL30354,REFSEQ:XP_001352853,FlyMine:FBpp0286973,modMine:FBpp0286973; MD5=9790b94db1cc1c5dbf2a6c5cf1792ddb; length=2489; release=r3.2; species=Dpse; 
FBpp0287919          -          CLIPD                -            1.9e-64  217.6   0.9   2.3e-64  217.3   0.9   1.0   1   0   0   1   1   1   1 type=protein; loc=4_group4:join(4475633..4475818,4475888..4476709); ID=FBpp0287919; name=Dpse\GA29037-PA; parent=FBgn0250395,FBtr0289481; dbxref=FlyBase:FBpp0287919,FlyBase_Annotation_IDs:GA29037-PA,GB_protein:EDY70583,REFSEQ:XP_002133181,FlyMine:FBpp0287919,modMine:FBpp0287919; MD5=9c1defd4dbfa8cd2352f7d7d0ac57a55; length=335; release=r3.2; species=Dpse; 
FBpp0281160          -          CLIPD                -              1e-63  215.2   1.4   1.3e-63  214.8   1.4   1.0   1   0   0   1   1   1   1 type=protein; loc=2:complement(27270869..27271463,27271510..27271766,27271825..27272021,27272081..27272243); ID=FBpp0281160; name=Dpse\GA12199-PA; parent=FBgn0072246,FBtr0282722; dbxref=FlyBase:FBpp0281160,FlyBase_Annotation_IDs:GA12199-PA,GB_protein:EAL28969,REFSEQ:XP_001359817,FlyMine:FBpp0281160,modMine:FBpp0281160; MD5=2ff43d663c3780fc86a39c6e4720e244; length=403; release=r3.2; species=Dpse; 
FBpp0283760          -          CLIPD                -              1e-63  215.2   1.2   1.3e-63  214.8   1.2   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(11256807..11256885,11256949..11257320,11257376..11257625,11257681..11258266); ID=FBpp0283760; name=Dpse\GA20752-PA; parent=FBgn0080743,FBtr0285322; dbxref=FlyBase:FBpp0283760,FlyBase_Annotation_IDs:GA20752-PA,GB_protein:EAL27641,REFSEQ:XP_001358502,FlyMine:FBpp0283760,modMine:FBpp0283760; MD5=a251cab506c56447a9efd88a63f8bb17; length=428; release=r3.2; species=Dpse; 
FBpp0301659          -          CLIPD                -            1.3e-63  214.8   0.0   1.4e-63  214.7   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(27015906..27015930,27015989..27016097,27016159..27016445,27016508..27016812); ID=FBpp0301659; name=Dpse\GA15903-PB; parent=FBgn0075919,FBtr0309930; dbxref=REFSEQ:XP_003736877,GB_protein:EIM52950,FlyBase:FBpp0301659,FlyBase_Annotation_IDs:GA15903-PB; MD5=e1b7c1a6b2f376efb4d4a06721bb02bb; length=241; release=r3.2; species=Dpse; 
FBpp0301905          -          CLIPD                -            1.8e-63  214.4   0.0   1.9e-63  214.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(26996936..26996960,26997019..26997127,26997189..26997475,26997538..26997842); ID=FBpp0301905; name=Dpse\GA27509-PB; parent=FBgn0248874,FBtr0310221; dbxref=REFSEQ:XP_003736874,GB_protein:EIM52947,FlyBase:FBpp0301905,FlyBase_Annotation_IDs:GA27509-PB; MD5=63015dc51fba925f48ef2217d5cc414a; length=241; release=r3.2; species=Dpse; 
FBpp0276159          -          CLIPD                -            2.4e-63  214.0   0.4   3.3e-63  213.5   0.4   1.1   1   0   0   1   1   1   1 type=protein; loc=3:complement(13727247..13728125,13728179..13728697); ID=FBpp0276159; name=Dpse\GA21182-PA; parent=FBgn0081170,FBtr0277721; dbxref=FlyBase:FBpp0276159,FlyBase_Annotation_IDs:GA21182-PA,GB_protein:EAL26102,REFSEQ:XP_001361524,FlyMine:FBpp0276159,modMine:FBpp0276159; MD5=a9c5548f455fb9cc9f80177524cfd26a; length=465; release=r3.2; species=Dpse; 
FBpp0285807          -          CLIPD                -              3e-63  213.7   1.9   3.9e-63  213.3   1.9   1.0   1   0   0   1   1   1   1 type=protein; loc=4_group5:1285728..1286507; ID=FBpp0285807; name=Dpse\GA21879-PA; parent=FBgn0081864,FBtr0287369; dbxref=FlyBase:FBpp0285807,FlyBase_Annotation_IDs:GA21879-PA,GB_protein:EAL32893,REFSEQ:XP_001355834,FlyMine:FBpp0285807,modMine:FBpp0285807; MD5=55f8ba8bd749e6add3d1d6da5b5f0336; length=259; release=r3.2; species=Dpse; 
FBpp0288185          -          CLIPD                -            3.6e-63  213.4   0.2   4.4e-63  213.1   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=Unknown_singleton_799:complement(1..808,878..940); ID=FBpp0288185; name=Dpse\GA29220-PA; parent=FBgn0250578,FBtr0289747; dbxref=FlyBase:FBpp0288185,FlyBase_Annotation_IDs:GA29220-PA,GB_protein:EDY71955,REFSEQ:XP_002136483,FlyMine:FBpp0288185,modMine:FBpp0288185; MD5=ea766ae4be02a8636e01830eb354d59a; length=290; release=r3.2; species=Dpse; 
FBpp0275977          -          CLIPD                -            3.9e-62  210.0   0.1   5.1e-62  209.6   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=3:complement(16430747..16431362,16431421..16431628,16431698..16431974); ID=FBpp0275977; name=Dpse\GA18531-PA; parent=FBgn0078533,FBtr0277539; dbxref=FlyBase:FBpp0275977,FlyBase_Annotation_IDs:GA18531-PA,GB_protein:EAL26351,REFSEQ:XP_001361772,FlyMine:FBpp0275977,modMine:FBpp0275977; MD5=786770034142572b7582e50c5abab140; length=366; release=r3.2; species=Dpse; 
FBpp0278774          -          CLIPD                -            6.4e-62  209.3   0.0   8.1e-62  209.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3:19004871..19005653; ID=FBpp0278774; name=Dpse\GA20967-PA; parent=FBgn0080956,FBtr0280336; dbxref=FlyBase:FBpp0278774,FlyBase_Annotation_IDs:GA20967-PA,GB_protein:EAL26608,REFSEQ:XP_001362028,FlyMine:FBpp0278774,modMine:FBpp0278774; MD5=1d5528fffa36d3a6eeda85b14663660d; length=260; release=r3.2; species=Dpse; 
FBpp0274506          -          CLIPD                -            1.5e-61  208.1   1.1   1.7e-61  207.9   1.1   1.0   1   0   0   1   1   1   1 type=protein; loc=XR_group6:complement(4097402..4097557,4097624..4097919,4097993..4098263); ID=FBpp0274506; name=Dpse\GA19914-PA; parent=FBgn0079910,FBtr0276068; dbxref=FlyBase:FBpp0274506,FlyBase_Annotation_IDs:GA19914-PA,GB_protein:EAL30997,REFSEQ:XP_001353486,FlyMine:FBpp0274506,modMine:FBpp0274506; MD5=bbc29302f9b47fe0ae4f6ada12c9ac98; length=240; release=r3.2; species=Dpse; 
FBpp0278673          -          CLIPD                -            1.6e-61  208.0   0.6   1.9e-61  207.7   0.6   1.0   1   0   0   1   1   1   1 type=protein; loc=3:join(17483620..17483878,17483937..17484144,17484203..17484812); ID=FBpp0278673; name=Dpse\GA17623-PA; parent=FBgn0077634,FBtr0280235; dbxref=FlyBase:FBpp0278673,FlyBase_Annotation_IDs:GA17623-PA,GB_protein:EAL26475,REFSEQ:XP_001361896,FlyMine:FBpp0278673,modMine:FBpp0278673; MD5=07d17579ec55877d8c330123a8b6ab41; length=358; release=r3.2; species=Dpse; 
FBpp0287918          -          CLIPD                -            6.2e-61  206.1   0.6   8.4e-61  205.6   0.6   1.1   1   0   0   1   1   1   1 type=protein; loc=4_group4:join(4465759..4465986,4466064..4466946,4466990..4467333); ID=FBpp0287918; name=Dpse\GA29036-PA; parent=FBgn0250394,FBtr0289480; dbxref=FlyBase:FBpp0287918,FlyBase_Annotation_IDs:GA29036-PA,GB_protein:EDY70581,REFSEQ:XP_002133179,FlyMine:FBpp0287918,modMine:FBpp0287918; MD5=b5203f8531c40f4b6e61b7af44c59743; length=484; release=r3.2; species=Dpse; 
FBpp0276379          -          CLIPD                -            1.2e-60  205.1   0.7   1.6e-60  204.8   0.7   1.0   1   0   0   1   1   1   1 type=protein; loc=3:complement(10527686..10528483); ID=FBpp0276379; name=Dpse\GA17236-PA; parent=FBgn0077249,FBtr0277941; dbxref=FlyBase:FBpp0276379,FlyBase_Annotation_IDs:GA17236-PA,GB_protein:EAL25751,REFSEQ:XP_001361174,FlyMine:FBpp0276379,modMine:FBpp0276379; MD5=2e92bcd83e4d1450b073938c62683977; length=265; release=r3.2; species=Dpse; 
FBpp0278405          -          CLIPD                -            1.3e-60  205.0   0.1   1.7e-60  204.6   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=3:14086919..14087728; ID=FBpp0278405; name=Dpse\GA11574-PA; parent=FBgn0071625,FBtr0279967; dbxref=FlyBase:FBpp0278405,FlyBase_Annotation_IDs:GA11574-PA,GB_protein:EAL26139,REFSEQ:XP_001361560,FlyMine:FBpp0278405,modMine:FBpp0278405; MD5=84c79ac0abb2eecf835c050658613fdb; length=269; release=r3.2; species=Dpse; 
FBpp0306497          -          CLIPD                -            1.3e-60  205.0   4.1   1.7e-60  204.6   4.1   1.0   1   0   0   1   1   1   1 type=protein; loc=3:join(19585090..19585168,19585238..19585401,19585459..19585666,19585715..19585757,19585814..19586007,19586069..19586481); ID=FBpp0306497; name=Dpse\GA25144-PB; parent=FBgn0246527,FBtr0334393; dbxref=FlyBase:FBpp0306497,FlyBase_Annotation_IDs:GA25144-PB,REFSEQ:XP_002139034,GB_protein:EDY69592; MD5=636c451b8a86c8708401872bfafa8590; length=366; release=r3.2; species=Dpse; 
FBpp0275870          -          CLIPD                -            1.3e-59  201.7   0.3   1.6e-59  201.5   0.3   1.1   1   0   0   1   1   1   1 type=protein; loc=3:complement(17484876..17485285,17485348..17485547,17485624..17485675,17485742..17486089,17486148..17486223); ID=FBpp0275870; name=Dpse\GA24114-PA; parent=FBgn0245513,FBtr0277432; dbxref=FlyBase:FBpp0275870,FlyBase_Annotation_IDs:GA24114-PA,GB_protein:EDY69500,REFSEQ:XP_002138942,FlyMine:FBpp0275870,modMine:FBpp0275870; MD5=2750e2b74bb3626899e0e348eb431f83; length=361; release=r3.2; species=Dpse; 
FBpp0282101          -          CLIPD                -            1.7e-59  201.4   0.0   1.9e-59  201.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2:complement(13159170..13159445,13159502..13159817,13159885..13160158,13160214..13160295); ID=FBpp0282101; name=Dpse\GA11230-PA; parent=FBgn0071284,FBtr0283663; dbxref=FlyBase:FBpp0282101,FlyBase_Annotation_IDs:GA11230-PA,GB_protein:EAL27805,REFSEQ:XP_001358664,FlyMine:FBpp0282101,modMine:FBpp0282101; MD5=e4fa14bc638d227be7e05a00ad51b4dd; length=315; release=r3.2; species=Dpse; 
FBpp0272215          -          CLIPD                -            2.1e-59  201.0   0.0   3.3e-59  200.4   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=XL_group3a:complement(320819..321180,321270..321462,321530..321920,322046..322705,322869..323052,323117..323195); ID=FBpp0272215; name=Dpse\GA19543-PA; parent=FBgn0079539,FBtr0273777; dbxref=FlyBase:FBpp0272215,FlyBase_Annotation_IDs:GA19543-PA,GB_protein:EAL31414,REFSEQ:XP_001354361,FlyMine:FBpp0272215,modMine:FBpp0272215; MD5=c105f6756cd5065a5b2346b83a4cab70; length=622; release=r3.2; species=Dpse; 
FBpp0277043          -          CLIPD                -            2.3e-59  200.9   1.9   2.6e-59  200.7   1.9   1.0   1   0   0   1   1   1   1 type=protein; loc=3:complement(2139340..2139727,2139791..2139956,2140018..2140116,2140182..2140737); ID=FBpp0277043; name=Dpse\GA15794-PA; parent=FBgn0075811,FBtr0278605; dbxref=FlyBase:FBpp0277043,FlyBase_Annotation_IDs:GA15794-PA,GB_protein:EAL24864,REFSEQ:XP_001360289,FlyMine:FBpp0277043,modMine:FBpp0277043; MD5=c69714b2735ae8ad87da0a08c2d58023; length=402; release=r3.2; species=Dpse; 
FBpp0276134          -          CLIPD                -            5.9e-59  199.6   0.5   7.3e-59  199.3   0.5   1.0   1   0   0   1   1   1   1 type=protein; loc=3:complement(14091898..14092686); ID=FBpp0276134; name=Dpse\GA11598-PA; parent=FBgn0071649,FBtr0277696; dbxref=FlyBase:FBpp0276134,FlyBase_Annotation_IDs:GA11598-PA,GB_protein:EAL26145,REFSEQ:XP_001361565,FlyMine:FBpp0276134,modMine:FBpp0276134; MD5=707150dd6c3ac7fdb5c0df9da8ea32bb; length=262; release=r3.2; species=Dpse; 
FBpp0277044          -          CLIPD                -            6.9e-59  199.4   0.3   8.3e-59  199.1   0.3   1.1   1   0   0   1   1   1   1 type=protein; loc=3:complement(2137774..2138149,2138214..2138382,2138440..2138872,2138925..2139143); ID=FBpp0277044; name=Dpse\GA15797-PA; parent=FBgn0075814,FBtr0278606; dbxref=FlyBase:FBpp0277044,FlyBase_Annotation_IDs:GA15797-PA,GB_protein:EAL24863,REFSEQ:XP_001360288,FlyMine:FBpp0277044,modMine:FBpp0277044; MD5=d322e422c9f7703742cec5353972396b; length=398; release=r3.2; species=Dpse; 
FBpp0272284          -          CLIPD                -            1.4e-58  198.4   0.1   1.8e-58  198.0   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=XL_group3a:join(991401..991479,991550..991695,991769..992797); ID=FBpp0272284; name=Dpse\GA15202-PA; parent=FBgn0075227,FBtr0273846; dbxref=FlyBase:FBpp0272284,FlyBase_Annotation_IDs:GA15202-PA,GB_protein:EAL31452,REFSEQ:XP_001354399,FlyMine:FBpp0272284,modMine:FBpp0272284; MD5=5505f1a59f8421db4bcb37e748407427; length=417; release=r3.2; species=Dpse; 
FBpp0297465          -          CLIPD                -            1.7e-58  198.1   0.0   2.1e-58  197.7   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(12523709..12523781,12524111..12524851,12525821..12525923,12525988..12526133,12526198..12526305,12526508..12526878); ID=FBpp0297465; name=Dpse\GA30140-PA; parent=FBgn0262669,FBtr0306373; dbxref=REFSEQ:XP_001358596,GB_protein:EAL27737,FlyBase:FBpp0297465,FlyBase_Annotation_IDs:GA30140-PA; MD5=97d0a406b1b5a988f48cf67303b6c6a7; length=513; release=r3.2; species=Dpse; 
FBpp0275728          -          CLIPD                -            5.1e-58  196.5   3.1   6.6e-58  196.1   3.1   1.0   1   0   0   1   1   1   1 type=protein; loc=3:complement(19609952..19610385,19610449..19610642,19610706..19610748,19610816..19611035,19611085..19611245,19611313..19611391); ID=FBpp0275728; name=Dpse\GA24065-PA; parent=FBgn0245464,FBtr0277290; dbxref=FlyBase:FBpp0275728,FlyBase_Annotation_IDs:GA24065-PA,GB_protein:EDY69593,REFSEQ:XP_002139035,FlyMine:FBpp0275728,modMine:FBpp0275728; MD5=551f0c8c3f086bcbb211fa75a7c6b34f; length=376; release=r3.2; species=Dpse; 
FBpp0281314          -          CLIPD                -            6.4e-58  196.2   0.9   7.9e-58  195.9   0.9   1.0   1   0   0   1   1   1   1 type=protein; loc=2:complement(25103134..25104423); ID=FBpp0281314; name=Dpse\GA26264-PA; parent=FBgn0247638,FBtr0282876; dbxref=FlyBase:FBpp0281314,FlyBase_Annotation_IDs:GA26264-PA,GB_protein:EDY68456,REFSEQ:XP_002137898,FlyMine:FBpp0281314,modMine:FBpp0281314; MD5=88049eb131d9ca4a0635d27220f2775f; length=429; release=r3.2; species=Dpse; 
FBpp0276135          -          CLIPD                -              9e-58  195.7   0.1   1.2e-57  195.3   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=3:complement(14089708..14090550); ID=FBpp0276135; name=Dpse\GA11599-PA; parent=FBgn0071650,FBtr0277697; dbxref=FlyBase:FBpp0276135,FlyBase_Annotation_IDs:GA11599-PA,GB_protein:EAL26141,REFSEQ:XP_001361562,FlyMine:FBpp0276135,modMine:FBpp0276135; MD5=fa96c9ca59b62390f2326f0462cbb386; length=280; release=r3.2; species=Dpse; 
FBpp0278822          -          CLIPD                -            3.3e-57  193.8   0.1   4.2e-57  193.5   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=3:join(19614811..19615027,19615084..19615129,19615188..19615366,19615424..19615833); ID=FBpp0278822; name=Dpse\GA15642-PA; parent=FBgn0075659,FBtr0280384; dbxref=FlyBase:FBpp0278822,FlyBase_Annotation_IDs:GA15642-PA,GB_protein:EAL26662,REFSEQ:XP_001362082,FlyMine:FBpp0278822,modMine:FBpp0278822; MD5=a76b9e7bc095991430bb33255236f47e; length=283; release=r3.2; species=Dpse; 
FBpp0273961          -          CLIPD                -            4.2e-57  193.5   3.4   5.1e-57  193.2   3.4   1.1   1   0   0   1   1   1   1 type=protein; loc=Unknown_group_670:17459..18238; ID=FBpp0273961; name=Dpse\GA23343-PA; parent=FBgn0244745,FBtr0275523; dbxref=FlyBase:FBpp0273961,FlyBase_Annotation_IDs:GA23343-PA,GB_protein:EDY71351,REFSEQ:XP_002136299,FlyMine:FBpp0273961,modMine:FBpp0273961; MD5=aea0e62139c85028c5c3bb8597124dd4; length=259; release=r3.2; species=Dpse; 
