#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0163182          -          BGBP                 -           2.2e-122  408.6   0.0  2.7e-122  408.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:join(23826094..23826235,23826290..23827120,23827188..23827504,23827826..23828023); ID=FBpp0163182; name=Dmoj\GI13965-PA; parent=FBgn0136719,FBtr0164690; dbxref=FlyBase:FBpp0163182,FlyBase_Annotation_IDs:GI13965-PA,GB_protein:EDW19790,REFSEQ:XP_002009314,FlyMine:FBpp0163182,modMine:FBpp0163182; MD5=82199653471395d43f20968e3baf4d8d; length=495; release=r1.3; species=Dmoj; 
FBpp0162472          -          CLIPC                -            8.5e-33  113.6   0.0   1.1e-32  113.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:10449726..10450529; ID=FBpp0162472; name=Dmoj\GI13255-PA; parent=FBgn0136012,FBtr0163980; dbxref=FlyBase:FBpp0162472,FlyBase_Annotation_IDs:GI13255-PA,GB_protein:EDW18466,REFSEQ:XP_002007990,FlyMine:FBpp0162472,modMine:FBpp0162472; MD5=2c8f06f10c5bbed5f994f66d0befd351; length=267; release=r1.3; species=Dmoj; 
FBpp0165097          -          CLIPC                -              2e-32  112.4   0.0   2.4e-32  112.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6473:join(13354406..13354638,13354725..13355259); ID=FBpp0165097; name=Dmoj\GI15880-PA; parent=FBgn0138629,FBtr0166605; dbxref=FlyBase:FBpp0165097,FlyBase_Annotation_IDs:GI15880-PA,GB_protein:EDW07677,REFSEQ:XP_002010360,FlyMine:FBpp0165097,modMine:FBpp0165097; MD5=033664114f4d0e22f50a2656e55068ef; length=255; release=r1.3; species=Dmoj; 
FBpp0163941          -          CLIPC                -            2.6e-32  112.0   0.1   3.1e-32  111.8   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6473:complement(13350706..13351234,13351301..13351530); ID=FBpp0163941; name=Dmoj\GI14724-PA; parent=FBgn0137475,FBtr0165449; dbxref=FlyBase:FBpp0163941,FlyBase_Annotation_IDs:GI14724-PA,GB_protein:EDW07675,REFSEQ:XP_002010358,FlyMine:FBpp0163941,modMine:FBpp0163941; MD5=945c7f075631217fc7c5896e9b3f2137; length=252; release=r1.3; species=Dmoj; 
FBpp0165920          -          CLIPC                -            3.8e-32  111.5   0.1   4.8e-32  111.1   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6654:170089..170883; ID=FBpp0165920; name=Dmoj\GI16703-PA; parent=FBgn0139451,FBtr0167428; dbxref=FlyBase:FBpp0165920,FlyBase_Annotation_IDs:GI16703-PA,GB_protein:EDW17102,REFSEQ:XP_002011971,FlyMine:FBpp0165920,modMine:FBpp0165920; MD5=e274575c8dfc8c2bd0a82203471ede54; length=264; release=r1.3; species=Dmoj; 
FBpp0159501          -          CLIPC                -            1.2e-31  109.8   0.0   1.6e-31  109.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:join(24722155..24722742,24722802..24722960); ID=FBpp0159501; name=Dmoj\GI10284-PA; parent=FBgn0133049,FBtr0161009; dbxref=FlyBase:FBpp0159501,FlyBase_Annotation_IDs:GI10284-PA,GB_protein:EDW16007,REFSEQ:XP_002000546,FlyMine:FBpp0159501,modMine:FBpp0159501; MD5=da4598c73872722b627748e201b88137; length=248; release=r1.3; species=Dmoj; 
FBpp0166367          -          CLIPC                -            1.6e-31  109.4   0.2   2.1e-31  109.1   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6500:join(5381159..5381171,5381241..5381983); ID=FBpp0166367; name=Dmoj\GI17150-PA; parent=FBgn0139894,FBtr0167875; dbxref=FlyBase:FBpp0166367,FlyBase_Annotation_IDs:GI17150-PA,GB_protein:EDW11458,REFSEQ:XP_002002016,FlyMine:FBpp0166367,modMine:FBpp0166367; MD5=dcac616fda924b05f8a71dd801eb0bcd; length=251; release=r1.3; species=Dmoj; 
FBpp0162471          -          CLIPC                -              4e-31  108.1   0.1   5.2e-31  107.7   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:10448161..10448982; ID=FBpp0162471; name=Dmoj\GI13254-PA; parent=FBgn0136011,FBtr0163979; dbxref=FlyBase:FBpp0162471,FlyBase_Annotation_IDs:GI13254-PA,GB_protein:EDW18465,REFSEQ:XP_002007989,FlyMine:FBpp0162471,modMine:FBpp0162471; MD5=541b35a827c7a4d0eed6fc395e95fa72; length=273; release=r1.3; species=Dmoj; 
FBpp0174068          -          CLIPC                -            9.6e-31  106.9   0.3   1.1e-30  106.6   0.3   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:19274977..19275759; ID=FBpp0174068; name=Dmoj\GI24851-PA; parent=FBgn0147571,FBtr0175576; dbxref=FlyBase:FBpp0174068,FlyBase_Annotation_IDs:GI24851-PA,GB_protein:EDW15473,REFSEQ:XP_002000012,FlyMine:FBpp0174068,modMine:FBpp0174068; MD5=7857b0ad94ae408630c5ddb2346fd580; length=260; release=r1.3; species=Dmoj; 
FBpp0164534          -          CLIPC                -            1.6e-30  106.1   0.0   2.6e-30  105.5   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6473:join(725564..725716,725790..726032,726098..726236,726298..726490,729116..729950); ID=FBpp0164534; name=Dmoj\GI15317-PA; parent=FBgn0138066,FBtr0166042; dbxref=FlyBase:FBpp0164534,FlyBase_Annotation_IDs:GI15317-PA,GB_protein:EDW06693,REFSEQ:XP_002009376,FlyMine:FBpp0164534,modMine:FBpp0164534; MD5=42c36dc5e68d2f07e8e31b8edfbcb3aa; length=520; release=r1.3; species=Dmoj; 
FBpp0165096          -          CLIPC                -            4.3e-30  104.7   0.0   5.7e-30  104.3   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6473:join(13351727..13351956,13352201..13352747); ID=FBpp0165096; name=Dmoj\GI15879-PA; parent=FBgn0138628,FBtr0166604; dbxref=FlyBase:FBpp0165096,FlyBase_Annotation_IDs:GI15879-PA,GB_protein:EDW07676,REFSEQ:XP_002010359,FlyMine:FBpp0165096,modMine:FBpp0165096; MD5=f93e7461766652a7d8b525ab67277376; length=258; release=r1.3; species=Dmoj; 
FBpp0165922          -          CLIPC                -            1.1e-29  103.4   0.2   1.6e-29  102.9   0.2   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6654:178284..179060; ID=FBpp0165922; name=Dmoj\GI16705-PA; parent=FBgn0139453,FBtr0167430; dbxref=FlyBase:FBpp0165922,FlyBase_Annotation_IDs:GI16705-PA,GB_protein:EDW17106,REFSEQ:XP_002011975,FlyMine:FBpp0165922,modMine:FBpp0165922; MD5=4f90b1c7326c5c28a43f4b37a4bfb5fe; length=258; release=r1.3; species=Dmoj; 
FBpp0165921          -          CLIPC                -            1.2e-29  103.3   0.1   1.5e-29  103.0   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6654:175361..176155; ID=FBpp0165921; name=Dmoj\GI16704-PA; parent=FBgn0139452,FBtr0167429; dbxref=FlyBase:FBpp0165921,FlyBase_Annotation_IDs:GI16704-PA,GB_protein:EDW17104,REFSEQ:XP_002011973,FlyMine:FBpp0165921,modMine:FBpp0165921; MD5=8f3797f55f1bc8d4ef1fb16eb00f3fa8; length=264; release=r1.3; species=Dmoj; 
FBpp0169540          -          CLIPC                -            1.4e-29  103.0   0.0   1.9e-29  102.6   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:join(9303748..9304022,9304096..9304369,9304449..9304826); ID=FBpp0169540; name=Dmoj\GI20323-PA; parent=FBgn0143059,FBtr0171048; dbxref=FlyBase:FBpp0169540,FlyBase_Annotation_IDs:GI20323-PA,GB_protein:EDW09090,REFSEQ:XP_002005155,FlyMine:FBpp0169540,modMine:FBpp0169540; MD5=7999365585a0bd4b46c43d5af539ede3; length=308; release=r1.3; species=Dmoj; 
FBpp0167951          -          CLIPC                -              7e-29  100.8   0.8     9e-29  100.4   0.8   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:complement(16680247..16680522,16680921..16681694); ID=FBpp0167951; name=Dmoj\GI18734-PA; parent=FBgn0141473,FBtr0169459; dbxref=FlyBase:FBpp0167951,FlyBase_Annotation_IDs:GI18734-PA,GB_protein:EDW10046,REFSEQ:XP_002006111,FlyMine:FBpp0167951,modMine:FBpp0167951; MD5=b921e20db120b4449e123d4e5e37e4f9; length=349; release=r1.3; species=Dmoj; 
FBpp0164535          -          CLIPC                -            3.7e-28   98.4   0.2   5.2e-28   97.9   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6473:join(730538..730800,730873..731677); ID=FBpp0164535; name=Dmoj\GI15318-PA; parent=FBgn0138067,FBtr0166043; dbxref=FlyBase:FBpp0164535,FlyBase_Annotation_IDs:GI15318-PA,GB_protein:EDW06694,REFSEQ:XP_002009377,FlyMine:FBpp0164535,modMine:FBpp0164535; MD5=9bc0cf2212222edc1b4d6b91d63de227; length=355; release=r1.3; species=Dmoj; 
FBpp0165897          -          CLIPC                -            8.4e-28   97.2   0.2   1.2e-27   96.7   0.2   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6654:complement(176962..177741); ID=FBpp0165897; name=Dmoj\GI16680-PA; parent=FBgn0139428,FBtr0167405; dbxref=FlyBase:FBpp0165897,FlyBase_Annotation_IDs:GI16680-PA,GB_protein:EDW17105,REFSEQ:XP_002011974,FlyMine:FBpp0165897,modMine:FBpp0165897; MD5=0f079fe1ef4dc7ea11500ac4155e23f6; length=259; release=r1.3; species=Dmoj; 
FBpp0166429          -          CLIPC                -            1.3e-26   93.3   0.0   1.7e-26   92.9   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6500:join(6386993..6387205,6387260..6388117); ID=FBpp0166429; name=Dmoj\GI17212-PA; parent=FBgn0139956,FBtr0167937; dbxref=FlyBase:FBpp0166429,FlyBase_Annotation_IDs:GI17212-PA,GB_protein:EDW11571,REFSEQ:XP_002002129,FlyMine:FBpp0166429,modMine:FBpp0166429; MD5=0edf9823aee84b65948c0fba7e0c94e6; length=356; release=r1.3; species=Dmoj; 
FBpp0161265          -          CLIPC                -            3.3e-26   92.0   0.0   4.5e-26   91.5   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:complement(10933968..10934330,10934397..10934670,10934735..10935024); ID=FBpp0161265; name=Dmoj\GI12048-PA; parent=FBgn0134805,FBtr0162773; dbxref=FlyBase:FBpp0161265,FlyBase_Annotation_IDs:GI12048-PA,GB_protein:EDW18525,REFSEQ:XP_002008049,FlyMine:FBpp0161265,modMine:FBpp0161265; MD5=a5f6360e4b07384b4b0a94390e0d3c3d; length=308; release=r1.3; species=Dmoj; 
FBpp0173926          -          CLIPC                -            1.9e-25   89.5   1.8   4.5e-25   88.2   1.8   1.6   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:join(16194047..16194113,16194597..16194906,16194965..16195443,16195503..16196058,16196178..16196697); ID=FBpp0173926; name=Dmoj\GI24709-PA; parent=FBgn0147431,FBtr0175434; dbxref=FlyBase:FBpp0173926,FlyBase_Annotation_IDs:GI24709-PA,GB_protein:EDW15228,REFSEQ:XP_001999767,FlyMine:FBpp0173926,modMine:FBpp0173926; MD5=d0f52902bf78d0292a2a9a287f332e68; length=643; release=r1.3; species=Dmoj; 
FBpp0165095          -          CLIPC                -            4.3e-25   88.3   0.0   5.2e-25   88.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6473:join(13347938..13348161,13348216..13348747); ID=FBpp0165095; name=Dmoj\GI15878-PA; parent=FBgn0138627,FBtr0166603; dbxref=FlyBase:FBpp0165095,FlyBase_Annotation_IDs:GI15878-PA,GB_protein:EDW07674,REFSEQ:XP_002010357,FlyMine:FBpp0165095,modMine:FBpp0165095; MD5=480724ebe5831e3a227e6e21ea282093; length=251; release=r1.3; species=Dmoj; 
FBpp0169618          -          CLIPC                -            5.2e-25   88.0   0.6   5.2e-25   88.0   0.6   2.7   2   2   0   2   2   1   1 type=protein; loc=scaffold_6496:join(10452060..10452389,10458023..10458211,10465236..10465957,10466041..10466193,10466271..10466539,10466608..10466900); ID=FBpp0169618; name=Dmoj\GI20401-PA; parent=FBgn0143137,FBtr0171126; dbxref=FlyBase:FBpp0169618,FlyBase_Annotation_IDs:GI20401-PA,GB_protein:EDW09220,REFSEQ:XP_002005285,FlyMine:FBpp0169618,modMine:FBpp0169618; MD5=8a9aaa09f50ac8017e0f2d6f1841197e; length=651; release=r1.3; species=Dmoj; 
FBpp0161173          -          CLIPC                -            6.6e-24   84.4   0.0   7.6e-24   84.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:complement(11903854..11904285); ID=FBpp0161173; name=Dmoj\GI11956-PA; parent=FBgn0134713,FBtr0162681; dbxref=FlyBase:FBpp0161173,FlyBase_Annotation_IDs:GI11956-PA,GB_protein:EDW18662,REFSEQ:XP_002008186,FlyMine:FBpp0161173,modMine:FBpp0161173; MD5=28fc66dede1b75f02dd6f7a233c43813; length=143; release=r1.3; species=Dmoj; 
FBpp0163982          -          CLIPC                -            8.2e-24   84.1   0.0   1.8e-23   83.0   0.0   1.5   1   1   0   1   1   1   1 type=protein; loc=scaffold_6473:complement(12726152..12726665,12727604..12728176,12728232..12728403,12728472..12728622,12728687..12728896); ID=FBpp0163982; name=Dmoj\GI14765-PA; parent=FBgn0137516,FBtr0165490; dbxref=FlyBase:FBpp0163982,FlyBase_Annotation_IDs:GI14765-PA,GB_protein:EDW07612,REFSEQ:XP_002010295,FlyMine:FBpp0163982,modMine:FBpp0163982; MD5=27f1459e178620f1a1c1482b1c030f5a; length=539; release=r1.3; species=Dmoj; 
FBpp0168615          -          CLIPC                -            1.3e-18   67.0   0.0   1.6e-18   66.7   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:complement(5935708..5936058,5936118..5936394,5936461..5936732); ID=FBpp0168615; name=Dmoj\GI19398-PA; parent=FBgn0142136,FBtr0170123; dbxref=FlyBase:FBpp0168615,FlyBase_Annotation_IDs:GI19398-PA,GB_protein:EDW08728,REFSEQ:XP_002004793,FlyMine:FBpp0168615,modMine:FBpp0168615; MD5=bb05ebb2bbd9fe52dbbdf5bb9dd66cc4; length=299; release=r1.3; species=Dmoj; 
FBpp0166150          -          CLIPC                -            6.5e-18   64.7   0.0   7.9e-18   64.4   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:21903780..21904610; ID=FBpp0166150; name=Dmoj\GI16933-PA; parent=FBgn0139679,FBtr0167658; dbxref=FlyBase:FBpp0166150,FlyBase_Annotation_IDs:GI16933-PA,GB_protein:EDW15734,REFSEQ:XP_002000273,FlyMine:FBpp0166150,modMine:FBpp0166150; MD5=72a8268f1db247ba3ac3cbaa04260991; length=276; release=r1.3; species=Dmoj; 
FBpp0164807          -          CLIPC                -            5.4e-17   61.7   1.7   8.3e-13   47.9   0.0   2.1   1   1   1   2   2   2   2 type=protein; loc=scaffold_6473:join(6301555..6301636,6301775..6302628,6302713..6302884,6302950..6303299); ID=FBpp0164807; name=Dmoj\GI15590-PA; parent=FBgn0138339,FBtr0166315; dbxref=FlyBase:FBpp0164807,FlyBase_Annotation_IDs:GI15590-PA,GB_protein:EDW07161,REFSEQ:XP_002009844,FlyMine:FBpp0164807,modMine:FBpp0164807; MD5=c334d7fc825cedb2b4cea7f269319cd3; length=485; release=r1.3; species=Dmoj; 
FBpp0171377          -          CLIPC                -            1.1e-15   57.4   0.0     2e-15   56.5   0.0   1.4   1   1   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(29643011..29643720,29643782..29643953); ID=FBpp0171377; name=Dmoj\GI22160-PA; parent=FBgn0144889,FBtr0172885; dbxref=FlyBase:FBpp0171377,FlyBase_Annotation_IDs:GI22160-PA,GB_protein:EDW16553,REFSEQ:XP_002001092,FlyMine:FBpp0171377,modMine:FBpp0171377; MD5=fc4ef6fc8a08f16125f088e057bb6d40; length=293; release=r1.3; species=Dmoj; 
FBpp0171376          -          CLIPC                -              5e-15   55.2   0.0   7.6e-15   54.6   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(29644434..29645125,29645177..29645293,29645358..29645415); ID=FBpp0171376; name=Dmoj\GI22159-PA; parent=FBgn0144888,FBtr0172884; dbxref=FlyBase:FBpp0171376,FlyBase_Annotation_IDs:GI22159-PA,GB_protein:EDW16554,REFSEQ:XP_002001093,FlyMine:FBpp0171376,modMine:FBpp0171376; MD5=42f57b789c477963fa8a119efd747556; length=288; release=r1.3; species=Dmoj; 
FBpp0165919          -          CLIPC                -            4.5e-13   48.8   0.8   5.3e-13   48.6   0.8   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6654:163847..164101; ID=FBpp0165919; name=Dmoj\GI16702-PA; parent=FBgn0139450,FBtr0167427; dbxref=FlyBase:FBpp0165919,FlyBase_Annotation_IDs:GI16702-PA,GB_protein:EDW17099,REFSEQ:XP_002011968,FlyMine:FBpp0165919,modMine:FBpp0165919; MD5=60bbdf8b290954884686d9823e1e0aa5; length=84; release=r1.3; species=Dmoj; 
FBpp0163950          -          CLIPC                -            1.6e-11   43.7   0.2   2.2e-08   33.4   0.0   2.7   3   0   0   3   3   2   2 type=protein; loc=scaffold_6473:complement(13273773..13273952,13276727..13277795,13278189..13278390,13278453..13279291,13279351..13279561,13279624..13280032,13282073..13282303,13293013..13293045); ID=FBpp0163950; name=Dmoj\GI14733-PA; parent=FBgn0137484,FBtr0165458; dbxref=FlyBase:FBpp0163950,FlyBase_Annotation_IDs:GI14733-PA,GB_protein:EDW07656,REFSEQ:XP_002010339,FlyMine:FBpp0163950,modMine:FBpp0163950; MD5=b6a187450d04904076d50b80adf1adb3; length=1057; release=r1.3; species=Dmoj; 
FBpp0160654          -          CLIPC                -              4e-10   39.1   0.0   5.3e-10   38.7   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:complement(21247788..21248376,21248433..21248671); ID=FBpp0160654; name=Dmoj\GI11437-PA; parent=FBgn0134198,FBtr0162162; dbxref=FlyBase:FBpp0160654,FlyBase_Annotation_IDs:GI11437-PA,GB_protein:EDW19595,REFSEQ:XP_002009119,FlyMine:FBpp0160654,modMine:FBpp0160654; MD5=5c2b84ccd684f90646e68c9f57adcdb0; length=275; release=r1.3; species=Dmoj; 
FBpp0164536          -          CLIPC                -            2.9e-09   36.3   0.1   4.2e-07   29.2   0.0   2.1   1   1   1   2   2   2   1 type=protein; loc=scaffold_6473:join(733415..733490,734737..734917,734977..735556); ID=FBpp0164536; name=Dmoj\GI15319-PA; parent=FBgn0138068,FBtr0166044; dbxref=FlyBase:FBpp0164536,FlyBase_Annotation_IDs:GI15319-PA,GB_protein:EDW06695,REFSEQ:XP_002009378,FlyMine:FBpp0164536,modMine:FBpp0164536; MD5=f79e7463526eba2a2fce1faeb7d81338; length=278; release=r1.3; species=Dmoj; 
FBpp0165896          -          CLIPC                -            1.7e-07   30.5   0.0   1.9e-07   30.3   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6654:complement(179273..179279,180752..181188); ID=FBpp0165896; name=Dmoj\GI16679-PA; parent=FBgn0139427,FBtr0167404; dbxref=FlyBase:FBpp0165896,FlyBase_Annotation_IDs:GI16679-PA,GB_protein:EDW17107,REFSEQ:XP_002011976,FlyMine:FBpp0165896,modMine:FBpp0165896; MD5=7a9c528ff3df9bc33c46c82cf89ecde2; length=147; release=r1.3; species=Dmoj; 
FBpp0159745          -          CLIPC                -              2e-05   23.6   0.0   3.1e-05   23.0   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:28441701..28443074; ID=FBpp0159745; name=Dmoj\GI10528-PA; parent=FBgn0133292,FBtr0161253; dbxref=FlyBase:FBpp0159745,FlyBase_Annotation_IDs:GI10528-PA,GB_protein:EDW16425,REFSEQ:XP_002000964,FlyMine:FBpp0159745,modMine:FBpp0159745; MD5=2a0acbd298fc03a110234941cb55cc84; length=457; release=r1.3; species=Dmoj; 
FBpp0159916          -          CLIPC                -             0.0015   17.5   0.2    0.0015   17.5   0.2   1.1   1   0   0   1   1   1   0 type=protein; loc=scaffold_6540:join(31480376..31480475,31480532..31480689,31480785..31480847); ID=FBpp0159916; name=Dmoj\GI10699-PA; parent=FBgn0133463,FBtr0161424; dbxref=FlyBase:FBpp0159916,FlyBase_Annotation_IDs:GI10699-PA,GB_protein:EDW16740,REFSEQ:XP_002001279,FlyMine:FBpp0159916,modMine:FBpp0159916; MD5=b89535a208a5a812b041cafcb08495a1; length=106; release=r1.3; species=Dmoj; 
FBpp0171873          -          CLIPD                -           1.9e-113  378.2   0.1  2.3e-113  377.9   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(20967661..20967795,20967864..20968013,20968069..20968366,20968484..20968673,20968771..20969149,20969980..20970296,20970391..20970545,20971177..20971742); ID=FBpp0171873; name=Dmoj\GI22656-PA; parent=FBgn0145384,FBtr0173381; dbxref=FlyBase:FBpp0171873,FlyBase_Annotation_IDs:GI22656-PA,GB_protein:EDW15660,REFSEQ:XP_002000199,FlyMine:FBpp0171873,modMine:FBpp0171873; MD5=42529420c59f86240a15e4cefbb32985; length=729; release=r1.3; species=Dmoj; 
FBpp0168651          -          CLIPD                -           7.1e-110  366.5   0.0  7.1e-110  366.5   0.0   1.9   2   0   0   2   2   1   1 type=protein; loc=scaffold_6496:complement(5405547..5405711,5405765..5405884,5406002..5406117,5406864..5407048,5407106..5407292,5407867..5412126,5424450..5424684); ID=FBpp0168651; name=Dmoj\GI19434-PA; parent=FBgn0142172,FBtr0170159; dbxref=FlyBase:FBpp0168651,FlyBase_Annotation_IDs:GI19434-PA,GB_protein:EDW08677,REFSEQ:XP_002004742,FlyMine:FBpp0168651,modMine:FBpp0168651; MD5=aa96d66beb99dd2df051de3fe6fec25d; length=1755; release=r1.3; species=Dmoj; 
FBpp0168648          -          CLIPD                -           1.4e-108  362.2   0.1  1.7e-108  362.0   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:complement(5455003..5455221,5455303..5455681,5455750..5455927,5456188..5456697,5459007..5459186,5462124..5462313); ID=FBpp0168648; name=Dmoj\GI19431-PA; parent=FBgn0142169,FBtr0170156; dbxref=FlyBase:FBpp0168648,FlyBase_Annotation_IDs:GI19431-PA,GB_protein:EDW08680,REFSEQ:XP_002004745,FlyMine:FBpp0168648,modMine:FBpp0168648; MD5=1cb7060373bf2bc6a965669abcd0cae7; length=551; release=r1.3; species=Dmoj; 
FBpp0171636          -          CLIPD                -           2.4e-106  354.9   0.0  3.1e-106  354.5   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(25478738..25478896,25478956..25479268,25479329..25479439,25479900..25481385,25481447..25481524,25484904..25484934); ID=FBpp0171636; name=Dmoj\GI22419-PA; parent=FBgn0145147,FBtr0173144; dbxref=FlyBase:FBpp0171636,FlyBase_Annotation_IDs:GI22419-PA,GB_protein:EDW16089,REFSEQ:XP_002000628,FlyMine:FBpp0171636,modMine:FBpp0171636; MD5=5145a90bd29225a961771cb0bb3294e1; length=725; release=r1.3; species=Dmoj; 
FBpp0166833          -          CLIPD                -           3.7e-105  351.0   0.0  4.4e-105  350.7   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6500:join(15278603..15278605,15283309..15284339,15284396..15284531,15284599..15284895,15284963..15285118); ID=FBpp0166833; name=Dmoj\GI17616-PA; parent=FBgn0140360,FBtr0168341; dbxref=FlyBase:FBpp0166833,FlyBase_Annotation_IDs:GI17616-PA,GB_protein:EDW12311,REFSEQ:XP_002002869,FlyMine:FBpp0166833,modMine:FBpp0166833; MD5=1ffe8de495b9798e03308d5ac3f1e9da; length=540; release=r1.3; species=Dmoj; 
FBpp0161017          -          CLIPD                -            5.3e-99  330.8   0.2   6.1e-99  330.6   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:complement(14179963..14180235,14180304..14180549,14180615..14180948,14181007..14181143,14182294..14182478,14182546..14182633); ID=FBpp0161017; name=Dmoj\GI11800-PA; parent=FBgn0134559,FBtr0162525; dbxref=FlyBase:FBpp0161017,FlyBase_Annotation_IDs:GI11800-PA,GB_protein:EDW18944,REFSEQ:XP_002008468,FlyMine:FBpp0161017,modMine:FBpp0161017; MD5=a4df95f5ba70596fb20824cc1a9b2b47; length=420; release=r1.3; species=Dmoj; 
FBpp0168650          -          CLIPD                -            2.5e-92  308.9   0.0     3e-92  308.6   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:complement(5436967..5437130,5437244..5437515,5437597..5437749,5437833..5437996); ID=FBpp0168650; name=Dmoj\GI19433-PA; parent=FBgn0142171,FBtr0170158; dbxref=FlyBase:FBpp0168650,FlyBase_Annotation_IDs:GI19433-PA,GB_protein:EDW08678,REFSEQ:XP_002004743,FlyMine:FBpp0168650,modMine:FBpp0168650; MD5=e5c7fae6f2afe6e508dec55746f96b28; length=250; release=r1.3; species=Dmoj; 
FBpp0165793          -          CLIPD                -            3.3e-91  305.2   0.7   4.5e-91  304.8   0.7   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6654:complement(1827493..1828020,1828395..1828470,1828530..1828929,1829002..1829257,1829334..1829503,1831235..1831313); ID=FBpp0165793; name=Dmoj\GI16576-PA; parent=FBgn0139324,FBtr0167301; dbxref=FlyBase:FBpp0165793,FlyBase_Annotation_IDs:GI16576-PA,GB_protein:EDW17310,REFSEQ:XP_002012179,FlyMine:FBpp0165793,modMine:FBpp0165793; MD5=dbd9764a9e5a4bd5dd749bc74d9364b6; length=502; release=r1.3; species=Dmoj; 
FBpp0168646          -          CLIPD                -            1.3e-88  296.7   0.0   1.3e-88  296.6   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:complement(5470674..5470745,5470843..5470886,5470950..5471243,5471315..5471568,5471644..5471755,5473337..5473567,5473815..5473945,5474177..5475633); ID=FBpp0168646; name=Dmoj\GI19429-PA; parent=FBgn0142167,FBtr0170154; dbxref=FlyBase:FBpp0168646,FlyBase_Annotation_IDs:GI19429-PA,GB_protein:EDW08683,REFSEQ:XP_002004748,FlyMine:FBpp0168646,modMine:FBpp0168646; MD5=88edb664fb682c6e6d668ec85e9c1335; length=864; release=r1.3; species=Dmoj; 
FBpp0165792          -          CLIPD                -            1.3e-88  296.6   0.0   1.6e-88  296.4   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6654:complement(1834602..1834787,1835025..1835096,1835351..1835565,1835983..1836276,1836333..1836660,1836726..1836898,1837074..1837596); ID=FBpp0165792; name=Dmoj\GI16575-PA; parent=FBgn0139323,FBtr0167300; dbxref=FlyBase:FBpp0165792,FlyBase_Annotation_IDs:GI16575-PA,GB_protein:EDW17311,REFSEQ:XP_002012180,FlyMine:FBpp0165792,modMine:FBpp0165792; MD5=bf5dd410bb27dc8edbb2ac2b518ce81e; length=596; release=r1.3; species=Dmoj; 
